seed,routing_loss,raw_delay_gradient,all_five_target_directed,initial_delay_means
3507,2.006408452987671,"[-0.0648973360657692, -0.1304347813129425, -0.1304347813129425, -0.1304347813129425, -0.1304347813129425]",True,"[3.0, 3.0, 3.0, 3.0, 3.0]"
3513,2.006873369216919,"[-0.0659269243478775, -0.1304347813129425, -0.1304347813129425, -0.1304347813129425, -0.1304347813129425]",True,"[3.0, 3.0, 3.0, 3.0, 3.0]"
3533,2.005929946899414,"[-0.0655980333685875, -0.1304347813129425, -0.1304347962141037, -0.1304347962141037, -0.1304347813129425]",True,"[3.0, 3.0, 3.0, 3.0, 3.0]"
