condition,N_hidden_total,K,seeds_observed,seeds_passing,required_seed_passes,pass_reliability,minimum_worst_query_balanced_accuracy,minimum_exact_trial_accuracy
shared_d0,24,6,3,0,3,False,0.5,0.033203125
shared_d0,24,8,3,0,3,False,0.5,0.00927734375
shared_d0,24,12,3,0,3,False,0.5,0.00048828125
shared_d0,24,16,3,0,3,False,0.5,0.0
shared_d0,32,1,3,3,3,True,1.0,1.0
shared_d0,32,2,3,0,3,False,0.5,0.5
shared_d0,32,3,3,0,3,False,0.5,0.2490234375
shared_d0,32,4,3,0,3,False,0.5,0.1279296875
shared_d0,32,6,3,0,3,False,0.5,0.03369140625
shared_d0,32,8,3,0,3,False,0.5,0.00927734375
shared_d0,32,12,3,0,3,False,0.5,0.00048828125
shared_d0,32,16,3,0,3,False,0.5,0.0
shared_temporal_fixed,1,1,3,0,3,False,0.5,0.5
shared_temporal_fixed,1,2,3,0,3,False,0.68701171875,0.5595703125
shared_temporal_fixed,1,3,3,0,3,False,0.5,0.287109375
shared_temporal_fixed,1,4,3,0,3,False,0.5,0.21337890625
shared_temporal_fixed,1,6,3,0,3,False,0.53466796875,0.08544921875
shared_temporal_fixed,1,8,3,0,3,False,0.5,0.0263671875
shared_temporal_fixed,1,12,3,0,3,False,0.5,0.00048828125
shared_temporal_fixed,1,16,3,0,3,False,0.5,0.0
shared_temporal_fixed,2,1,3,0,3,False,0.5,0.5
shared_temporal_fixed,2,2,3,1,3,False,0.68408203125,0.5615234375
shared_temporal_fixed,2,3,3,0,3,False,0.74853515625,0.42333984375
shared_temporal_fixed,2,4,3,0,3,False,0.6552734375,0.30712890625
shared_temporal_fixed,2,6,3,0,3,False,0.5791015625,0.1240234375
shared_temporal_fixed,2,8,3,0,3,False,0.5,0.02783203125
shared_temporal_fixed,2,12,3,0,3,False,0.5,0.001953125
shared_temporal_fixed,2,16,3,0,3,False,0.5,0.0
shared_temporal_fixed,3,1,3,1,3,False,0.75,0.75
shared_temporal_fixed,3,2,3,0,3,False,0.75,0.55908203125
shared_temporal_fixed,3,3,3,0,3,False,0.68408203125,0.56005859375
shared_temporal_fixed,3,4,3,1,3,False,0.681640625,0.3173828125
shared_temporal_fixed,3,6,3,0,3,False,0.65234375,0.2431640625
shared_temporal_fixed,3,8,3,0,3,False,0.61279296875,0.22119140625
shared_temporal_fixed,3,12,3,0,3,False,0.54296875,0.00830078125
shared_temporal_fixed,3,16,3,0,3,False,0.49951171875,0.00048828125
shared_temporal_fixed,4,1,3,1,3,False,0.75,0.75
shared_temporal_fixed,4,2,3,3,3,True,0.9384765625,0.9384765625
shared_temporal_fixed,4,3,3,2,3,False,0.75,0.75
shared_temporal_fixed,4,4,3,3,3,True,0.9296875,0.9296875
shared_temporal_fixed,4,6,3,2,3,False,0.744140625,0.39404296875
shared_temporal_fixed,4,8,3,1,3,False,0.8603515625,0.66552734375
shared_temporal_fixed,4,12,3,0,3,False,0.53515625,0.01416015625
shared_temporal_fixed,4,16,3,0,3,False,0.5,0.00048828125
shared_temporal_fixed,6,1,3,3,3,True,1.0,1.0
shared_temporal_fixed,6,2,3,3,3,True,0.94189453125,0.94189453125
