arm,seed,checkpoint,worst_query_balanced_accuracy,exact_trial_accuracy,minimum_window_activity_fraction,maximum_query_delay_error_steps,delay_query_means,selected_update
oracle,3457,accuracy,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",60
oracle,3457,schedule,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",60
oracle,3469,accuracy,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",40
oracle,3469,schedule,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",40
oracle,3491,accuracy,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",40
oracle,3491,schedule,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",40
task_only,3457,accuracy,0.5,0.33203125,0.0,12.931152105331421,"[1.202732801437378, 5.842946529388428, 1.4226611852645874, 2.068847894668579, 16.410783767700195]",380
task_only,3457,schedule,0.5,0.0556640625,0.0,12.517141819000244,"[1.7265241146087646, 5.044387340545654, 1.8670635223388672, 2.6525685787200928, 6.482858180999756]",80
task_only,3469,accuracy,0.5,0.322265625,0.0,11.05526351928711,"[1.2204687595367432, 5.146545886993408, 1.1782777309417725, 3.9447364807128906, 16.576099395751953]",400
task_only,3469,schedule,0.5,0.23291015625,0.0,10.55910062789917,"[1.2823408842086792, 5.336273670196533, 1.2710427045822144, 4.44089937210083, 15.649733543395996]",360
task_only,3491,accuracy,0.5,0.232421875,0.0,13.547463059425354,"[1.1514179706573486, 5.10817813873291, 1.420583963394165, 1.452536940574646, 7.286589622497559]",400
task_only,3491,schedule,0.5,0.060546875,0.0,12.869751214981079,"[1.6261351108551025, 4.8068928718566895, 1.8857043981552124, 2.130248785018921, 7.844803333282471]",120
joint_calibrated,3457,accuracy,0.77978515625,0.74853515625,0.9951171875,9.906856298446655,"[1.0302479267120361, 4.9867048263549805, 1.0931437015533447, 7.901460647583008, 16.52421760559082]",400
joint_calibrated,3457,schedule,0.52001953125,0.39892578125,0.2685546875,9.620390176773071,"[1.212965726852417, 4.951965808868408, 1.3796098232269287, 7.242248058319092, 16.410032272338867]",340
joint_calibrated,3469,accuracy,0.86279296875,0.79150390625,0.998046875,9.275840520858765,"[0.9659367203712463, 5.987002372741699, 1.7241594791412354, 8.15749454498291, 16.385473251342773]",400
joint_calibrated,3469,schedule,0.5,0.2392578125,0.0,9.007438659667969,"[1.7013359069824219, 5.030198097229004, 3.0001907348632812, 5.992561340332031, 10.258699417114258]",160
joint_calibrated,3491,accuracy,0.9801431894302368,0.95361328125,1.0,8.7127525806427,"[1.3453515768051147, 4.999167442321777, 2.2872474193573, 10.136091232299805, 16.367521286010742]",400
joint_calibrated,3491,schedule,0.50341796875,0.45703125,0.47900390625,8.684009075164795,"[1.3978914022445679, 5.140769004821777, 2.315990924835205, 7.33743953704834, 16.542327880859375]",360
routing_only_for_delays,3457,accuracy,1.0,1.0,1.0,1.957261085510254,"[1.042738914489746, 7.493652820587158, 11.507171630859375, 15.301487922668457, 18.024839401245117]",300
routing_only_for_delays,3457,schedule,0.9990234375,0.99755859375,1.0,1.8940736055374146,"[1.1059263944625854, 7.494565010070801, 11.488789558410645, 15.093944549560547, 17.593259811401367]",280
routing_only_for_delays,3469,accuracy,1.0,1.0,1.0,2.0640904903411865,"[0.9359095096588135, 7.4959235191345215, 11.500946044921875, 15.463973999023438, 18.612489700317383]",340
routing_only_for_delays,3469,schedule,0.998046875,0.9970703125,1.0,1.8983174562454224,"[1.1016825437545776, 7.49440860748291, 11.491405487060547, 15.110629081726074, 17.616098403930664]",280
routing_only_for_delays,3491,accuracy,1.0,1.0,1.0,1.9628418684005737,"[1.0371581315994263, 7.496011257171631, 11.508821487426758, 15.31503677368164, 18.051727294921875]",300
routing_only_for_delays,3491,schedule,0.99951171875,0.99951171875,1.0,1.899931788444519,"[1.100068211555481, 7.495606422424316, 11.493520736694336, 15.1185884475708, 17.62968635559082]",280
