event_budget_label,artifacts_complete,finite,nonzero_hidden_activity,oracle_schedule_exact,delays_legal,runtime_panel_present,runtime_npz_present,resource_ledger_present,passed
event4,True,True,True,True,True,True,True,True,True
event8,True,True,True,True,True,True,True,True,True
