candidate_label,event_budget_label,r_on_hz,N,w,T,seed,worst_query_balanced_accuracy,exact_trial_accuracy,mean_balanced_accuracy,per_query_balanced_accuracy,window_activity_fraction,minimum_window_activity_fraction,oracle_schedule_exact,mean_input_events,neuron_update_proxy,run_dir
event4_N240_w4,event4,490.0,240,4,30,3323,0.9130859375,0.73095703125,0.9403971195220947,"[0.9547525644302368, 0.9596353769302368, 0.9130859375, 0.91943359375, 0.955078125]","[0.9443359375, 0.9794921875, 0.9921875, 0.98876953125, 0.98828125]",0.9443359375,True,3.99775390625,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N240_w4_seed3323
event4_N240_w6,event4,490.0,240,6,40,3301,0.90869140625,0.7060546875,0.93466796875,"[0.943359375, 0.9475911855697632, 0.90869140625, 0.9130859375, 0.9606119394302368]","[0.935546875, 0.9736328125, 0.97119140625, 0.9755859375, 0.98291015625]",0.935546875,True,4.00302734375,9600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T40_N240_w6_seed3301
event4_N240_w6,event4,490.0,240,6,40,3313,0.89990234375,0.69384765625,0.9341145992279053,"[0.9580078125, 0.9632161855697632, 0.89990234375, 0.89990234375, 0.9495443105697632]","[0.96044921875, 0.98095703125, 0.94970703125, 0.91943359375, 0.9765625]",0.91943359375,True,3.9857421875,9600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T40_N240_w6_seed3313
event4_N240_w6,event4,490.0,240,6,40,3323,0.916015625,0.72607421875,0.9412760257720947,"[0.9606119394302368, 0.9547525644302368, 0.916015625, 0.91796875, 0.95703125]","[0.921875, 0.974609375, 0.97265625, 0.9599609375, 0.9736328125]",0.921875,True,3.99775390625,9600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T40_N240_w6_seed3323
event4_N240_w8,event4,490.0,240,8,50,3301,0.90966796875,0.70947265625,0.9350260496139526,"[0.947265625, 0.947265625, 0.90966796875, 0.91455078125, 0.9563802480697632]","[0.9306640625, 0.96484375, 0.95361328125, 0.939453125, 0.9775390625]",0.9306640625,True,4.00302734375,12000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T50_N240_w8_seed3301
event4_N240_w8,event4,490.0,240,8,50,3313,0.89892578125,0.70556640625,0.9373372554779053,"[0.9554036855697632, 0.96484375, 0.9052734375, 0.89892578125, 0.9622396230697632]","[0.958984375, 0.9765625, 0.931640625, 0.912109375, 0.9755859375]",0.912109375,True,3.9857421875,12000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T50_N240_w8_seed3313
event4_N240_w8,event4,490.0,240,8,50,3323,0.91455078125,0.7197265625,0.93818359375,"[0.9381510019302368, 0.95703125, 0.923828125, 0.91455078125, 0.9573568105697632]","[0.9306640625, 0.96337890625, 0.96142578125, 0.9365234375, 0.96630859375]",0.9306640625,True,3.99775390625,12000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T50_N240_w8_seed3323
event4_N240_w12,event4,490.0,240,12,70,3301,0.9052734375,0.7021484375,0.9333333253860474,"[0.9479166269302368, 0.9456380605697632, 0.908203125, 0.9052734375, 0.9596353769302368]","[0.95703125, 0.9609375, 0.93115234375, 0.9228515625, 0.97265625]",0.9228515625,True,4.00302734375,16800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T70_N240_w12_seed3301
event4_N240_w12,event4,490.0,240,12,70,3313,0.89453125,0.6630859375,0.9286783933639526,"[0.9563802480697632, 0.9501953125, 0.89599609375, 0.89453125, 0.9462890625]","[0.9296875, 0.95361328125, 0.875, 0.8857421875, 0.955078125]",0.875,True,3.9857421875,16800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T70_N240_w12_seed3313
event4_N240_w12,event4,490.0,240,12,70,3323,0.9111328125,0.7265625,0.9372395992279052,"[0.9612630605697632, 0.953125, 0.9111328125, 0.9111328125, 0.9495443105697632]","[0.96435546875, 0.95458984375, 0.947265625, 0.91357421875, 0.96533203125]",0.91357421875,True,3.99775390625,16800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T70_N240_w12_seed3323
