protocol_id,path,loss_mode,learning_rate,target_nominal_delay_steps,target_arrival_step,initial_raw,d_max_steps,total_steps,input_spike_step,optimizer_steps,direct_delay_supervision,stochastic_seed,test_split_opened,initial_delay_steps,final_delay_steps,final_nominal_delay_error_steps,initial_output_arrival_centroid,final_output_arrival_centroid,final_output_arrival_error_steps,initial_output_trace_mass,final_output_trace_mass,final_output_spike_count,final_loss,initial_raw_gradient,final_raw_gradient,convergence_step,recovered_within_0p1_arrival_step,complete
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,1.0,4.0,-4.0,8,16,2,200,False,,False,0.1438896805047989,0.17615856230258942,0.8238414376974106,3.1438896656036377,3.1761584281921387,0.8238415718078613,1.0,1.0,,0.3393574655056,-0.12096980214118958,-0.14193108677864075,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,1.0,4.0,-2.0,8,16,2,200,False,,False,0.953623354434967,0.9999980926513672,1.9073486328125e-06,3.9536232948303223,3.999998092651367,1.9073486328125e-06,1.0,1.0,,1.8189894035458565e-12,-0.038954053074121475,-1.6689273252268322e-06,0,True,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,1.0,4.0,0.0,8,16,2,200,False,,False,4.0,3.612959861755371,2.612959861755371,7.0,6.612959861755371,2.612959861755371,1.0,1.0,,3.4137797355651855,6.0,5.176990032196045,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,1.0,4.0,2.0,8,16,2,200,False,,False,7.0463762283325195,6.860433578491211,5.860433578491211,10.04637622833252,9.860433578491211,5.860433578491211,1.0,1.0,,17.172340393066406,5.078649997711182,5.727047920227051,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,1.0,4.0,4.0,8,16,2,200,False,,False,7.856110095977783,7.823604106903076,6.823604106903076,10.856110572814941,10.823603630065918,6.823603630065918,1.0,1.0,,23.28078269958496,0.968781054019928,1.1771152019500732,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,5.0,8.0,-4.0,8,16,2,200,False,,False,0.1438896805047989,0.17638222873210907,4.823617771267891,3.1438896656036377,3.176382303237915,4.823617696762085,1.0,1.0,,11.633645057678223,-0.6861764192581177,-0.8320422172546387,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,5.0,8.0,-2.0,8,16,2,200,False,,False,0.953623354434967,1.1389440298080444,3.8610559701919556,3.9536232948303223,4.138944149017334,3.861055850982666,1.0,1.0,,7.45387601852417,-3.3987491130828857,-3.7714591026306152,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,5.0,8.0,0.0,8,16,2,200,False,,False,4.0,4.362984657287598,0.6370153427124023,7.0,7.362984657287598,0.6370153427124023,1.0,1.0,,0.20289427042007446,-2.0,-1.2635393142700195,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,5.0,8.0,2.0,8,16,2,200,False,,False,7.0463762283325195,6.862918376922607,1.8629183769226074,10.04637622833252,9.862918853759766,1.8629188537597656,1.0,1.0,,1.7352333068847656,1.7188524007797241,1.8172072172164917,,False,True
delay_temporal_credit_level0b_v1,buffer_current,arrival_centroid,0.001,5.0,8.0,4.0,8,16,2,200,False,,False,7.856110095977783,7.823651313781738,2.8236513137817383,10.856110572814941,10.823651313781738,2.8236513137817383,1.0,1.0,,3.9865033626556396,0.4035739004611969,0.48697081208229065,,False,True
