run_path,protocol_version,accuracy,worst_query_accuracy,exact_trial_accuracy,schema_version,latency_steps,input_channels,hidden_neurons_layer1,hidden_neurons_layer2,hidden_neurons_total,output_neurons_or_logits,spiking_neurons_total,synapses_input_hidden,synapses_hidden_hidden,synapses_hidden_output,delayed_synapses_total,trainable_parameters,parameter_tensors_total_elements,synaptic_weight_storage_elements,delay_value_storage_elements,trainable_delay_parameters,decoder_parameters,decoder_trainable_parameters,decoder_storage_elements,model_scalar_storage_elements,model_scalar_storage_bytes_fp32,delay_buffer_depth,delay_buffer_elements_per_sample,delay_buffer_bytes_per_sample_fp32,neuron_state_elements_per_sample,neuron_state_bytes_per_sample_fp32,neuron_updates_per_trial,dense_synapse_macs_per_trial,delay_buffer_reads_per_trial,delay_interpolation_elementwise_ops_per_trial,decoder_weight_macs_per_trial,decoder_bias_adds_per_trial,decoder_activation_ops_per_trial,readout_accumulation_adds_per_trial,observation_mode,observation_steps,observation_bins,readout_feature_dim,mean_input_spikes_per_trial,mean_hidden1_spikes_per_trial,mean_hidden2_spikes_per_trial,mean_output_spikes_per_trial,mean_synaptic_events_input_hidden,mean_synaptic_events_hidden_hidden,mean_synaptic_events_hidden_output,mean_synaptic_events_total
runs/NAND_compress_burst_(planD)/d0_h20_K3_sw10_seed0,checkpoint_reevaluation_v1,0.7450000047683716,0.7310000061988831,0.414000004529953,resource_ledger_v1,40,2,20,0,20,3,20,40,0,0,40,619,619,40,40,0,579,579,579,659,2636,31,62,248,40,160,800,1600,3200,4800,552,27,24,200,late_window,10,1,20,9.050000190734863,0.0,,,181.00000381469727,0.0,0.0,181.00000381469727
runs/NAND_compress_burst_(planD)/d0_h20_K3_sw10_seed42,checkpoint_reevaluation_v1,0.7586666941642761,0.7289999723434448,0.43799999356269836,resource_ledger_v1,40,2,20,0,20,3,20,40,0,0,40,619,619,40,40,0,579,579,579,659,2636,31,62,248,40,160,800,1600,3200,4800,552,27,24,200,late_window,10,1,20,8.960000038146973,0.0,,,179.20000076293945,0.0,0.0,179.20000076293945
runs/NAND_compress_burst_(planD)/wad_h50_K3_sw10_seed0,checkpoint_reevaluation_v1,0.9599999785423279,0.9110000133514404,0.8980000019073486,resource_ledger_v1,40,2,50,0,50,3,50,100,0,0,100,2903,2903,100,100,100,2703,2703,2703,2903,11612,31,62,248,100,400,2000,4000,8000,12000,2650,53,50,500,late_window,10,1,50,9.050000190734863,5.283999919891357,,,452.50000953674316,0.0,0.0,452.50000953674316
runs/NAND_compress_burst_(planD)/wad_h50_K3_sw10_seed42,checkpoint_reevaluation_v1,0.9589999914169312,0.8769999742507935,0.8769999742507935,resource_ledger_v1,40,2,50,0,50,3,50,100,0,0,100,2903,2903,100,100,100,2703,2703,2703,2903,11612,31,62,248,100,400,2000,4000,8000,12000,2650,53,50,500,late_window,10,1,50,8.960000038146973,4.065000057220459,,,448.00000190734863,0.0,0.0,448.00000190734863
