seed,best_control,wad_worst,control_worst,worst_delta_wad_minus_control,wad_exact,control_exact,exact_delta_wad_minus_control
0,scalar,0.6620000004768372,0.6899999976158142,-0.02799999713897705,0.4480000138282776,0.4000000059604645,0.04800000786781311
1,scalar,0.6359999775886536,0.6959999799728394,-0.06000000238418579,0.4320000112056732,0.42800000309944153,0.0040000081062316895
2,scalar,0.6700000166893005,0.699999988079071,-0.029999971389770508,0.44200000166893005,0.5040000081062317,-0.062000006437301636
3,scalar,0.6940000057220459,0.7300000190734863,-0.03600001335144043,0.45399999618530273,0.4180000126361847,0.03599998354911804
42,scalar,0.7300000190734863,0.6800000071525574,0.050000011920928955,0.41200000047683716,0.3959999978542328,0.01600000262260437
