seed,N_hidden,w,T,worst_bacc,exact_trial,mechanism_valid,pass_90,max_centroid_error,minimum_window_activity,selected_update,bacc_q0_AND,activity_q0,bacc_q1_OR,activity_q1,bacc_q2_XOR,activity_q2,bacc_q3_XNOR,activity_q3,bacc_q4_NAND,activity_q4,bacc_q5_NOR,activity_q5
4013,4,6,46,0.99560546875,0.99365234375,True,True,0.09061050415039062,0.80126953125,550,1.0,1.0,0.9990234375,1.0,0.99951171875,0.80126953125,0.99560546875,0.99609375,1.0,0.9775390625,0.9986978769302368,0.99951171875
4013,4,8,58,0.9990234375,0.99853515625,True,True,0.10205459594726562,0.65380859375,575,1.0,1.0,0.9990234375,1.0,0.99951171875,0.65380859375,1.0,0.74755859375,0.9990234375,0.66162109375,1.0,1.0
4013,4,10,70,0.9990234375,0.998046875,True,True,0.10132217407226562,0.74951171875,600,1.0,1.0,0.9996744394302368,1.0,0.99951171875,0.98779296875,0.99951171875,0.74951171875,0.9990234375,0.93310546875,1.0,1.0
4013,4,14,94,0.998046875,0.99755859375,True,True,0.22447967529296875,0.99609375,575,1.0,1.0,1.0,1.0,0.99951171875,0.99951171875,1.0,1.0,0.9993489980697632,0.99951171875,0.998046875,0.99609375
4013,4,20,130,0.998046875,0.99658203125,True,True,0.244140625,0.9970703125,600,1.0,1.0,1.0,1.0,0.99951171875,1.0,0.9990234375,0.99755859375,0.9993489980697632,0.9990234375,0.998046875,0.9970703125
4013,4,26,166,0.9990234375,0.9970703125,True,True,0.4759674072265625,0.99853515625,575,1.0,0.99951171875,0.9990234375,1.0,0.99951171875,0.99853515625,0.9990234375,1.0,0.9993489980697632,1.0,1.0,1.0
4013,5,4,34,0.9921875,0.97412109375,True,True,0.09062004089355469,0.59765625,500,1.0,1.0,0.99609375,1.0,0.99365234375,0.68115234375,0.99658203125,0.59765625,0.9944661855697632,0.99658203125,0.9921875,0.99560546875
4013,5,5,40,0.99609375,0.99072265625,True,True,0.030544281005859375,0.98291015625,600,0.9990234375,1.0,0.99609375,0.99951171875,0.9990234375,0.98291015625,0.99609375,0.99365234375,0.9990234375,1.0,0.9983724355697632,0.9990234375
4013,5,6,46,0.9990234375,0.9970703125,True,True,0.183441162109375,0.57421875,500,0.9990234375,1.0,0.9996744394302368,1.0,1.0,0.57421875,0.99951171875,0.916015625,0.9990234375,1.0,0.9993489980697632,0.8671875
4013,5,8,58,0.9973958730697632,0.99658203125,True,True,0.10205459594726562,0.8173828125,575,1.0,1.0,0.9996744394302368,1.0,0.9990234375,0.93310546875,1.0,0.8173828125,1.0,1.0,0.9973958730697632,0.93017578125
4013,5,10,70,0.998046875,0.99462890625,True,True,0.38095855712890625,1.0,500,1.0,1.0,0.9990234375,1.0,0.99853515625,1.0,0.998046875,1.0,0.9993489980697632,1.0,0.9996744394302368,1.0
4013,5,14,94,0.9970703125,0.99658203125,True,True,0.21680450439453125,0.99609375,575,1.0,1.0,0.9977213144302368,1.0,0.99951171875,1.0,1.0,1.0,1.0,1.0,0.9970703125,0.99609375
4013,5,20,130,0.9990234375,0.9970703125,True,True,0.3260345458984375,0.9990234375,575,1.0,1.0,0.9996744394302368,1.0,0.99951171875,0.99951171875,0.9990234375,1.0,0.9996744394302368,0.9990234375,0.9990234375,1.0
4013,5,26,166,0.9993489980697632,0.99755859375,True,True,0.324127197265625,0.99853515625,600,1.0,1.0,0.9996744394302368,1.0,0.99951171875,0.99853515625,0.99951171875,1.0,0.9993489980697632,1.0,1.0,1.0
4027,1,4,34,0.4990234375,0.2529296875,True,False,0.09143257141113281,0.18017578125,500,1.0,0.25,0.982421875,0.7529296875,0.52197265625,0.18017578125,0.4990234375,0.2880859375,0.9947916269302368,0.748046875,0.9889322519302368,0.2666015625
4027,1,5,40,0.49951171875,0.24609375,True,False,0.04479217529296875,0.03173828125,575,1.0,0.25,0.982421875,0.7587890625,0.49951171875,0.03173828125,0.5107421875,0.1982421875,0.9921875,0.75390625,0.998046875,0.2529296875
4027,1,6,46,0.52294921875,0.2841796875,True,False,0.18423080444335938,0.04833984375,500,1.0,0.25,0.9791666269302368,0.75390625,0.52587890625,0.04833984375,0.52294921875,0.37646484375,1.0,0.75,0.9990234375,0.25146484375
4027,1,8,58,0.50244140625,0.25048828125,True,False,0.20042800903320312,0.22021484375,525,1.0,0.25,0.9807943105697632,0.75830078125,0.50244140625,0.22021484375,0.5126953125,0.4228515625,1.0,0.75,0.9986978769302368,0.251953125
4027,1,10,70,0.49951171875,0.30615234375,True,False,0.1011962890625,0.02490234375,600,1.0,0.25,0.9791666269302368,0.75390625,0.49951171875,0.02490234375,0.6103515625,0.388671875,1.0,0.75,0.9990234375,0.25146484375
4027,1,14,94,0.50341796875,0.28955078125,True,False,0.2232666015625,0.251953125,575,0.9817708730697632,0.27734375,0.970703125,0.7646484375,0.50341796875,0.56494140625,0.6220703125,0.8330078125,0.9921875,0.75390625,0.9986978769302368,0.251953125
4027,1,20,130,0.49609375,0.24365234375,True,False,0.47811126708984375,0.251953125,550,0.998046875,0.2529296875,0.98828125,0.755859375,0.49609375,0.5654296875,0.49755859375,0.94287109375,1.0,0.75,0.9986978769302368,0.251953125
4027,1,26,166,0.49560546875,0.26416015625,True,False,0.4788055419921875,0.251953125,575,0.9957681894302368,0.25634765625,0.98828125,0.755859375,0.53271484375,0.78662109375,0.49560546875,0.59228515625,1.0,0.75,0.9986978769302368,0.251953125
4027,2,4,34,0.5078125,0.47802734375,True,False,0.45305633544921875,0.248046875,400,0.9931640625,0.75341796875,0.9921875,0.248046875,0.5078125,0.9833984375,0.96484375,0.5263671875,0.9928385019302368,0.2548828125,0.9986978769302368,0.75
4027,2,5,40,0.5263671875,0.38671875,True,False,0.030424118041992188,0.25,600,0.998046875,0.7509765625,1.0,0.25,0.5263671875,0.3681640625,0.740234375,0.259765625,1.0,0.25,0.9856771230697632,0.736328125
4027,2,6,46,0.8486328125,0.806640625,True,False,0.0435791015625,0.236328125,600,0.9921875,0.75390625,0.97265625,0.236328125,0.8486328125,0.4658203125,0.9677734375,0.48046875,1.0,0.25,0.9983724355697632,0.74755859375
4027,2,8,58,0.9970703125,0.9931640625,True,True,0.0717315673828125,0.25,600,1.0,0.75,1.0,0.25,0.9970703125,0.4990234375,0.99853515625,0.50146484375,1.0,0.25,0.9977213144302368,0.74853515625
4027,2,10,70,0.99658203125,0.9892578125,True,True,0.1011962890625,0.25,600,1.0,0.75,0.9993489980697632,0.2509765625,0.99658203125,0.49658203125,0.99755859375,0.49853515625,1.0,0.25,0.9973958730697632,0.74609375
4027,2,14,94,0.703125,0.50634765625,True,False,0.31053924560546875,0.2470703125,550,1.0,0.75,0.9921875,0.2470703125,0.703125,0.9833984375,0.70703125,0.99853515625,0.9990234375,0.25,0.9957681894302368,0.744140625
4027,2,20,130,0.87158203125,0.80517578125,True,False,0.46814727783203125,0.24951171875,550,0.9983724355697632,0.74755859375,0.9990234375,0.24951171875,0.9111328125,0.4306640625,0.87158203125,0.48779296875,1.0,0.25,0.9977213144302368,0.74658203125
4027,2,26,166,0.66943359375,0.4716796875,True,False,0.3492279052734375,0.24951171875,600,0.9931640625,0.75,0.9990234375,0.24951171875,0.66943359375,0.99365234375,0.68701171875,0.98291015625,1.0,0.25,0.99609375,0.748046875
4027,3,4,34,0.97265625,0.9111328125,True,True,0.2949810028076172,0.3876953125,425,0.9951171875,1.0,1.0,0.99658203125,0.9765625,0.6376953125,0.9814453125,0.7021484375,0.9794921875,0.3876953125,0.97265625,0.97509765625
4027,3,5,40,0.98974609375,0.96923828125,True,True,0.04479789733886719,0.685546875,575,0.998046875,1.0,0.998046875,0.9990234375,0.99169921875,0.685546875,0.98974609375,0.97119140625,0.9990234375,0.9990234375,0.9915364980697632,0.990234375
4027,3,6,46,0.998046875,0.9951171875,True,True,0.06304168701171875,0.3125,575,0.998046875,1.0,0.9990234375,0.99951171875,0.99951171875,0.74951171875,0.99951171875,0.6357421875,1.0,0.3125,0.9983724355697632,0.998046875
4027,3,8,58,0.9986978769302368,0.9970703125,True,True,0.14340591430664062,0.62353515625,550,1.0,1.0,1.0,1.0,1.0,0.70068359375,0.9990234375,0.62353515625,1.0,0.994140625,0.9986978769302368,0.998046875
4027,3,10,70,0.9990234375,0.9990234375,True,True,0.19789505004882812,0.9853515625,550,1.0,1.0,0.9990234375,1.0,1.0,0.9853515625,0.99951171875,1.0,1.0,1.0,1.0,0.99853515625
4027,3,14,94,0.9990234375,0.9970703125,True,True,0.42198944091796875,0.9970703125,525,1.0,1.0,1.0,0.99853515625,0.99951171875,1.0,0.9990234375,0.9970703125,1.0,1.0,0.9990234375,1.0
4027,3,20,130,0.99951171875,0.9990234375,True,True,0.24163818359375,0.9990234375,600,1.0,1.0,0.9996744394302368,0.9990234375,1.0,1.0,0.99951171875,0.99951171875,1.0,1.0,1.0,1.0
4027,3,26,166,0.99755859375,0.99609375,True,True,0.4793853759765625,0.9921875,575,1.0,1.0,0.9996744394302368,0.99951171875,0.99951171875,0.99755859375,0.99755859375,0.9921875,1.0,1.0,0.9996744394302368,1.0
4027,4,4,34,0.97802734375,0.9521484375,True,True,0.0183868408203125,0.89111328125,600,0.998046875,1.0,0.9951171875,0.89111328125,0.9892578125,0.89892578125,0.97802734375,0.97021484375,0.9892578125,0.9541015625,0.9899088144302368,0.99951171875
4027,4,5,40,0.9986978769302368,0.99462890625,True,True,0.09456062316894531,0.45361328125,525,1.0,1.0,1.0,1.0,0.99951171875,0.578125,0.9990234375,0.75,0.9986978769302368,0.45361328125,0.9986978769302368,0.99755859375
4027,4,6,46,0.9990234375,0.9970703125,True,True,0.12910842895507812,0.6640625,525,1.0,1.0,1.0,1.0,0.9990234375,0.6640625,0.9990234375,0.74267578125,1.0,0.83935546875,0.9993489980697632,0.9990234375
4027,4,8,58,0.99951171875,0.99951171875,True,True,0.0717315673828125,0.74951171875,600,1.0,1.0,1.0,1.0,1.0,0.94384765625,0.99951171875,0.74951171875,1.0,1.0,1.0,0.99267578125
