accuracy,arrival_auxiliary_weight,balanced_accuracy,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_pass,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,full_pass,functional_delay_override,granularity,hidden_active_pattern_count,independent_delay_parameters,initial_delay_mean_steps,initial_gradient_pass,initial_interface_exact_patterns,initial_raw,initial_task_gradient_correct_coordinate_fraction,initial_task_gradient_nonzero_coordinate_fraction,interface_pass,learned_delay,mean_output_spikes_per_trial,normalization_factor,optimizer_state_inherited,parent_checkpoint,protocol_id,seed,selection_role,silent_rate,stage,target_delay_steps,task_loss_weight,test_split_opened,trainable_components,weight_learning_rate
1.0,0.0,1.0,0.0,True,retention_task_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.00022602081298828125,3.9999804496765137,3.9999401569366455,3.9997739791870117,,500,True,,per_hidden_neuron,4,16,3.9999401569366455,False,4,-2.0,0.0,0.0,True,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2503\final_model.pt,xor_task_derived_timing_withdrawal_v1,2503,retention_task_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,['input_hidden_delays'],0.01
1.0,0.0,1.0,0.0,True,retention_task_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.00021505355834960938,3.999969005584717,3.999929904937744,3.9997849464416504,,500,True,,per_hidden_neuron,4,16,3.999929904937744,False,4,-2.0,0.0,0.0,True,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2521\final_model.pt,xor_task_derived_timing_withdrawal_v1,2521,retention_task_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,['input_hidden_delays'],0.01
1.0,0.0,1.0,0.0,True,retention_task_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.0020322799682617188,4.002032279968262,3.999868869781494,3.9985666275024414,,500,True,,per_hidden_neuron,4,16,3.999868869781494,False,4,-2.0,0.0,0.0,True,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2539\final_model.pt,xor_task_derived_timing_withdrawal_v1,2539,retention_task_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,['input_hidden_delays'],0.01
1.0,0.0,1.0,0.0,True,retention_task_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.0004520416259765625,3.9999961853027344,3.9999046325683594,3.9995479583740234,,500,True,,per_hidden_neuron,4,16,3.9999046325683594,False,4,-2.0,0.0,0.0,True,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2551\final_model.pt,xor_task_derived_timing_withdrawal_v1,2551,retention_task_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,['input_hidden_delays'],0.01
1.0,0.0,1.0,0.0,True,retention_task_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.00011491775512695312,3.9999799728393555,3.9999516010284424,3.999885082244873,,500,True,,per_hidden_neuron,4,16,3.9999516010284424,False,4,-2.0,0.0,0.0,True,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2579\final_model.pt,xor_task_derived_timing_withdrawal_v1,2579,retention_task_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,['input_hidden_delays'],0.01
1.0,0.16,1.0,0.0,True,oracle_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,,500,True,3.0,per_hidden_neuron,4,16,3.000000238418579,True,0,-2.0,1.0,1.0,True,True,1.0,16.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2503\final_model.pt,xor_task_derived_timing_withdrawal_v1,2503,oracle_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,0.0,False,['input_hidden_delays'],0.01
1.0,0.0,1.0,0.0,True,task_delay_only,0.75,0.01,False,post_neuron,consecutive_microburst,False,3,True,0.0,1.0238256454467773,3.7658238410949707,3.362502098083496,2.9761743545532227,,500,False,3.0,per_hidden_neuron,4,16,3.000000238418579,False,0,-2.0,0.9375,1.0,False,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2503\final_model.pt,xor_task_derived_timing_withdrawal_v1,2503,task_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,['input_hidden_delays'],0.01
1.0,0.0,1.0,0.0,True,task_joint,1.0,0.01,False,post_neuron,consecutive_microburst,True,4,True,0.0,1.2454464435577393,3.868642568588257,3.39281964302063,2.7545535564422607,,500,False,3.0,per_hidden_neuron,4,16,3.000000238418579,False,0,-2.0,0.9375,1.0,True,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2503\final_model.pt,xor_task_derived_timing_withdrawal_v1,2503,task_joint,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,"['hidden_output_weights', 'input_hidden_delays', 'input_hidden_weights']",0.01
1.0,0.0,1.0,0.0,True,task_weight_only,0.0,0.01,False,post_neuron,consecutive_microburst,False,0,True,0.0,0.9999997615814209,3.000000238418579,3.000000238418579,3.000000238418579,,500,False,3.0,per_hidden_neuron,4,16,3.000000238418579,False,0,-2.0,0.0,0.0,False,True,1.0,0.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2503\final_model.pt,xor_task_derived_timing_withdrawal_v1,2503,task_weight_only,0.0,stage_w2_withdrawal_recovery,4.0,1.0,False,"['hidden_output_weights', 'input_hidden_weights']",0.01
1.0,0.16,1.0,0.0,True,oracle_delay_only,1.0,0.01,True,post_neuron,consecutive_microburst,True,4,True,1.0,0.0,4.0,4.0,4.0,,500,True,3.0,per_hidden_neuron,4,16,3.000000238418579,True,0,-2.0,1.0,1.0,True,True,1.0,16.0,False,runs\exploratory\xor_task_derived_timing_withdrawal_v1\stage_w0_foundation\per_hidden_oracle_foundation\seed_2521\final_model.pt,xor_task_derived_timing_withdrawal_v1,2521,oracle_delay_only,0.0,stage_w2_withdrawal_recovery,4.0,0.0,False,['input_hidden_delays'],0.01
