N_hidden,w,T,worst_bacc,exact_trial,max_centroid_error,mechanism_valid,pass_90,N_times_T,neuron_updates_per_trial,dense_synapse_macs_per_trial,mean_synaptic_events_total,delay_buffer_elements_per_sample,model_scalar_storage_elements,bacc_q0,activity_q0,delay_q0,arrival_q0,bacc_q1,activity_q1,delay_q1,arrival_q1,bacc_q2,activity_q2,delay_q2,arrival_q2,bacc_q3,activity_q3,delay_q3,arrival_q3,bacc_q4,activity_q4,delay_q4,arrival_q4,bacc_q5,activity_q5,delay_q5,arrival_q5
1,4,34,0.5234375,0.24853515625,0.04213905334472656,True,False,34,34,816,48.0400390625,648,175,0.9996744394302368,0.25048828125,3.5121965408325195,12.01219654083252,0.912109375,0.6376953125,7.500061988830566,16.000061988830566,0.5625,0.298828125,11.502946853637695,20.002946853637695,0.5234375,0.2724609375,15.501537322998047,24.001537322998047,0.9931640625,0.74560546875,19.49945068359375,27.99945068359375,0.9954427480697632,0.2568359375,23.457860946655273,31.957860946655273
1,5,40,0.5068359375,0.21826171875,0.19692039489746094,True,False,40,40,960,48.0400390625,792,175,0.9970703125,0.75146484375,3.992780923843384,12.492780923843384,0.9996744394302368,0.25048828125,8.999576568603516,17.499576568603516,0.5068359375,0.078125,13.99754524230957,22.49754524230957,0.52294921875,0.05224609375,19.000905990600586,27.500905990600586,0.9925130605697632,0.26123046875,23.99987030029297,32.49987030029297,0.91796875,0.62890625,28.80307960510254,37.30307960510254
1,6,46,0.55810546875,0.29150390625,0.3775978088378906,True,False,46,46,1104,48.0400390625,936,175,1.0,0.25,4.495384216308594,12.995384216308594,0.9104818105697632,0.63916015625,10.498546600341797,18.998546600341797,0.61328125,0.2578125,16.50132179260254,25.00132179260254,0.55810546875,0.31982421875,22.500993728637695,31.000993728637695,0.9993489980697632,0.7490234375,28.50057029724121,37.00057029724121,0.9983724355697632,0.25048828125,34.12240219116211,42.62240219116211
1,8,58,0.52587890625,0.2666015625,0.14358139038085938,True,False,58,58,1392,48.0400390625,1224,175,0.9990234375,0.25146484375,5.514176845550537,14.014176845550537,0.978515625,0.7529296875,13.500174522399902,22.000174522399902,0.52587890625,0.05908203125,21.502885818481445,30.002885818481445,0.54345703125,0.43212890625,29.501529693603516,38.001529693603516,0.9990234375,0.75048828125,37.49946212768555,45.99946212768555,1.0,0.25,45.35641860961914,53.85641860961914
1,10,70,0.51171875,0.296875,0.14213180541992188,True,False,70,70,1680,48.0400390625,1512,175,0.9986978769302368,0.251953125,6.510184288024902,15.010184288024902,0.978515625,0.7529296875,16.499330520629883,24.999330520629883,0.51171875,0.2392578125,26.49754524230957,34.99754524230957,0.5859375,0.4375,36.49956512451172,44.99956512451172,0.9990234375,0.75048828125,46.49797821044922,54.99797821044922,1.0,0.25,56.35786819458008,64.85786819458008
1,14,94,0.49609375,0.2392578125,0.421142578125,True,False,94,94,2256,48.0400390625,2088,175,1.0,0.75,8.496892929077148,16.99689292907715,1.0,0.25,22.49899673461914,30.99899673461914,0.49853515625,0.60009765625,36.499488830566406,44.999488830566406,0.49609375,0.8974609375,50.5003776550293,59.0003776550293,1.0,0.25,64.49960327148438,72.99960327148438,0.9944661855697632,0.74169921875,78.078857421875,86.578857421875
1,20,130,0.49072265625,0.24951171875,0.34081268310546875,True,False,130,130,3120,48.0400390625,2952,175,0.9996744394302368,0.74951171875,11.501922607421875,20.001922607421875,0.9993489980697632,0.2509765625,31.4993953704834,39.9993953704834,0.51123046875,0.33154296875,51.497528076171875,59.997528076171875,0.49072265625,0.54833984375,71.49956512451172,79.99956512451172,0.9996744394302368,0.25048828125,91.49797821044922,99.99797821044922,0.99609375,0.744140625,111.15918731689453,119.65918731689453
1,26,166,0.49658203125,0.25244140625,0.4556884765625,True,False,166,166,3984,48.0400390625,3816,175,0.9993489980697632,0.7490234375,14.503850936889648,23.00385093688965,1.0,0.25,40.49940872192383,48.99940872192383,0.50244140625,0.45947265625,66.49754333496094,74.99754333496094,0.49658203125,0.54931640625,92.49957275390625,100.99957275390625,0.9990234375,0.25146484375,118.49797821044922,126.99797821044922,0.998046875,0.7470703125,144.0443115234375,152.5443115234375
2,4,34,0.5185546875,0.28173828125,0.028270721435546875,True,False,68,68,1632,96.080078125,648,247,0.9951171875,0.75244140625,3.4992661476135254,11.999266147613525,0.9947916269302368,0.2578125,7.49912691116333,15.99912691116333,0.5185546875,0.98486328125,11.49747371673584,19.99747371673584,0.56689453125,0.92626953125,15.499579429626465,23.999579429626465,0.9482421875,0.32763671875,19.497947692871094,27.997947692871094,0.990234375,0.7548828125,23.471729278564453,31.971729278564453
2,5,40,0.50439453125,0.2529296875,0.2864818572998047,True,False,80,80,1920,96.080078125,792,247,0.98828125,1.0,3.993497848510742,12.493497848510742,1.0,0.25,8.998549461364746,17.498549461364746,0.50439453125,0.03466796875,14.00131893157959,22.50131893157959,0.5166015625,0.1044921875,19.001005172729492,27.501005172729492,0.9970703125,0.99951171875,24.000566482543945,32.500566482543945,0.9996744394302368,0.9990234375,28.713518142700195,37.213518142700195
2,6,46,0.99609375,0.99365234375,0.0634002685546875,True,True,92,92,2208,96.080078125,936,247,1.0,0.75,4.499472141265869,12.99947214126587,1.0,0.25,10.499244689941406,18.999244689941406,1.0,0.5,16.497514724731445,24.997514724731445,0.99609375,0.4970703125,22.499570846557617,30.999570846557617,0.9990234375,0.25146484375,28.49795913696289,36.99795913696289,0.998046875,0.7490234375,34.43659973144531,42.93659973144531
2,8,58,0.99560546875,0.99072265625,0.20102691650390625,True,True,116,116,2784,96.080078125,1224,247,1.0,0.75,5.5123209953308105,14.01232099533081,0.9996744394302368,0.25048828125,13.499059677124023,21.999059677124023,0.9990234375,0.5,21.499483108520508,29.999483108520508,0.99560546875,0.49658203125,29.50037956237793,38.00037956237793,0.9993489980697632,0.2509765625,37.49959945678711,45.99959945678711,0.9973958730697632,0.748046875,45.298973083496094,53.798973083496094
2,10,70,0.74560546875,0.72021484375,0.10193252563476562,True,False,140,140,3360,96.080078125,1512,247,0.9996744394302368,0.75146484375,6.514926433563232,15.014926433563232,0.984375,0.69091796875,16.498947143554688,24.998947143554688,0.74560546875,0.9697265625,26.501636505126953,35.00163650512695,0.998046875,1.0,36.500919342041016,45.000919342041016,0.990234375,0.99365234375,46.49946594238281,54.99946594238281,0.9879556894302368,0.75048828125,56.398067474365234,64.89806747436523
2,14,94,0.732421875,0.70361328125,0.159088134765625,True,False,188,188,4512,96.080078125,2088,247,0.9993489980697632,0.7490234375,8.514252662658691,17.01425266265869,0.9996744394302368,0.25048828125,22.49895477294922,30.99895477294922,0.732421875,0.76171875,36.50163269042969,45.00163269042969,0.970703125,0.517578125,50.50092315673828,59.00092315673828,1.0,0.25,64.49945831298828,72.99945831298828,0.9967447519302368,0.7451171875,78.34091186523438,86.84091186523438
2,20,130,0.7216796875,0.5244140625,0.47997283935546875,True,False,260,260,6240,96.080078125,2952,247,0.9970703125,0.7490234375,11.502218246459961,20.00221824645996,0.998046875,0.24951171875,31.500226974487305,40.000226974487305,0.7216796875,0.9794921875,51.502899169921875,60.002899169921875,0.7421875,0.9912109375,71.50153350830078,80.00153350830078,0.9970703125,0.25,91.49945831298828,99.99945831298828,0.9954427480697632,0.74462890625,111.02002716064453,119.52002716064453
2,26,166,0.74169921875,0.53662109375,0.3388519287109375,True,False,332,332,7968,96.080078125,3816,247,0.99609375,0.74853515625,14.506318092346191,23.00631809234619,0.9970703125,0.24951171875,40.498958587646484,48.998958587646484,0.74169921875,0.99072265625,66.50164031982422,75.00164031982422,0.7421875,0.267578125,92.50093078613281,101.00093078613281,1.0,0.25,118.49945068359375,126.99945068359375,0.994140625,0.74755859375,144.16114807128906,152.66114807128906
3,4,34,0.9775390625,0.927734375,0.019216537475585938,True,True,102,102,2448,144.1201171875,648,319,0.9967447519302368,1.0,3.5136830806732178,12.013683080673218,0.9944661855697632,0.8017578125,7.498898983001709,15.998898983001709,0.9775390625,0.7509765625,11.501587867736816,20.001587867736816,0.984375,0.74951171875,15.500960350036621,24.00096035003662,0.986328125,0.94091796875,19.499500274658203,27.999500274658203,0.98828125,0.94970703125,23.480783462524414,31.980783462524414
3,5,40,0.9931640625,0.984375,0.09466743469238281,True,True,120,120,2880,144.1201171875,792,319,1.0,0.99951171875,4.012678623199463,12.512678623199463,0.9990234375,1.0,8.999166488647461,17.49916648864746,0.99755859375,0.73876953125,13.99945068359375,22.49945068359375,0.9931640625,1.0,19.000385284423828,27.500385284423828,0.9938150644302368,1.0,23.999601364135742,32.49960136413574,0.9977213144302368,0.99658203125,28.905332565307617,37.40533256530762
3,6,46,0.72802734375,0.7109375,0.06344223022460938,True,False,138,138,3312,144.1201171875,936,319,0.9970703125,0.99951171875,4.499476909637451,12.999476909637451,0.9788411855697632,1.0,10.499244689941406,18.999244689941406,0.998046875,0.876953125,16.497514724731445,24.997514724731445,0.72802734375,0.994140625,22.499570846557617,30.999570846557617,0.9853515625,1.0,28.497957229614258,36.99795722961426,0.9996744394302368,0.8466796875,34.43655776977539,42.93655776977539
