op,train_mode,hidden_size,delay_param_type,delay_step,fixed_delay_value,n_seeds,acc_mean,acc_std,acc_ci95,spikes_mean,throughput_mean,density_mean
A_IMP_B,delays_only,10,sigmoid,,,1,0.7649999856948853,0.0,0.0,0.2930000126361847,3.412969136085637,0.0
A_IMP_B,delays_only,20,sigmoid,,,1,0.7599999904632568,0.0,0.0,1.7630000114440918,0.5672149707933861,0.0
A_IMP_B,delays_only,50,sigmoid,,,1,0.7680000066757202,0.0,0.0,2.635999917984009,0.37936268251661853,0.0
A_IMP_B,weights_and_delays,10,sigmoid,,,1,0.949999988079071,0.0,0.0,7.849999904632568,0.12738853657945445,0.0
A_IMP_B,weights_and_delays,20,sigmoid,,,1,0.9850000143051147,0.0,0.0,17.000999450683594,0.05882007130820718,0.0
A_IMP_B,weights_and_delays,50,sigmoid,,,1,0.9850000143051147,0.0,0.0,25.57200050354004,0.03910527062055883,0.0
A_IMP_B,weights_only,10,sigmoid,,,1,0.9100000262260437,0.0,0.0,10.187999725341797,0.09815469444041931,0.0
A_IMP_B,weights_only,20,sigmoid,,,1,0.9160000085830688,0.0,0.0,16.812000274658203,0.059481321892872176,0.0
A_IMP_B,weights_only,50,sigmoid,,,1,0.9179999828338623,0.0,0.0,27.499000549316406,0.03636495799935023,0.0
AND,delays_only,10,sigmoid,,,1,0.7839999794960022,0.0,0.0,0.27399998903274536,3.6496351825783884,0.0
AND,delays_only,20,sigmoid,,,1,0.8809999823570251,0.0,0.0,1.5269999504089355,0.6548788686811658,0.0
AND,delays_only,50,sigmoid,,,1,0.8600000143051147,0.0,0.0,2.125999927520752,0.4703669022068859,0.0
AND,weights_and_delays,10,sigmoid,,,1,0.9620000123977661,0.0,0.0,4.413000106811523,0.22660321228102553,0.0
AND,weights_and_delays,20,sigmoid,,,1,0.9850000143051147,0.0,0.0,11.960000038146973,0.0836120398670948,0.0
AND,weights_and_delays,50,sigmoid,,,1,0.9879999756813049,0.0,0.0,23.340999603271484,0.04284306657799864,0.0
AND,weights_only,10,sigmoid,,,1,0.8930000066757202,0.0,0.0,6.056000232696533,0.1651254890316828,0.0
AND,weights_only,20,sigmoid,,,1,0.9300000071525574,0.0,0.0,13.746999740600586,0.07274314533131078,0.0
AND,weights_only,50,sigmoid,,,1,0.9399999976158142,0.0,0.0,26.32200050354004,0.03799103338917991,0.0
B_IMP_A,delays_only,10,sigmoid,,,1,0.7509999871253967,0.0,0.0,0.28299999237060547,3.5335689998550954,0.0
B_IMP_A,delays_only,20,sigmoid,,,1,0.7689999938011169,0.0,0.0,1.8270000219345093,0.547345368360289,0.0
B_IMP_A,delays_only,50,sigmoid,,,1,0.7789999842643738,0.0,0.0,2.6670000553131104,0.37495312308218093,0.0
B_IMP_A,weights_and_delays,10,sigmoid,,,1,0.9330000281333923,0.0,0.0,10.680000305175781,0.09363295612598216,0.0
B_IMP_A,weights_and_delays,20,sigmoid,,,1,0.9639999866485596,0.0,0.0,14.263999938964844,0.07010656227418431,0.0
B_IMP_A,weights_and_delays,50,sigmoid,,,1,0.9779999852180481,0.0,0.0,32.14699935913086,0.031107102371468007,0.0
B_IMP_A,weights_only,10,sigmoid,,,1,0.8840000033378601,0.0,0.0,11.027999877929688,0.09067827448940201,0.0
B_IMP_A,weights_only,20,sigmoid,,,1,0.9049999713897705,0.0,0.0,14.4399995803833,0.06925207957474577,0.0
B_IMP_A,weights_only,50,sigmoid,,,1,0.9139999747276306,0.0,0.0,29.461000442504883,0.0339431786083289,0.0
NAND,delays_only,10,sigmoid,,,1,0.7860000133514404,0.0,0.0,0.24699999392032623,4.0485830956035,0.0
NAND,delays_only,20,sigmoid,,,1,0.8569999933242798,0.0,0.0,1.5490000247955322,0.6455777817899001,0.0
NAND,delays_only,50,sigmoid,,,1,0.8920000195503235,0.0,0.0,2.055000066757202,0.48661798905826986,0.0
NAND,weights_and_delays,10,sigmoid,,,1,0.9359999895095825,0.0,0.0,4.965000152587891,0.20140986289371476,0.0
NAND,weights_and_delays,20,sigmoid,,,1,0.9649999737739563,0.0,0.0,8.420000076293945,0.11876484452956787,0.0
NAND,weights_and_delays,50,sigmoid,,,1,0.9890000224113464,0.0,0.0,20.66699981689453,0.04838631677842934,0.0
NAND,weights_only,10,sigmoid,,,1,0.8790000081062317,0.0,0.0,5.89300012588501,0.1696928523058228,0.0
NAND,weights_only,20,sigmoid,,,1,0.9179999828338623,0.0,0.0,10.138999938964844,0.09862905671366407,0.0
NAND,weights_only,50,sigmoid,,,1,0.9380000233650208,0.0,0.0,21.33099937438965,0.04688012888887975,0.0
NOR,delays_only,10,sigmoid,,,1,0.7549999952316284,0.0,0.0,0.2919999957084656,3.42465758457889,0.0
NOR,delays_only,20,sigmoid,,,1,0.7559999823570251,0.0,0.0,1.7230000495910645,0.5803830361103816,0.0
NOR,delays_only,50,sigmoid,,,1,0.7559999823570251,0.0,0.0,2.5920000076293945,0.38580246800021634,0.0
NOR,weights_and_delays,10,sigmoid,,,1,0.9409999847412109,0.0,0.0,9.687999725341797,0.10322048186935921,0.0
NOR,weights_and_delays,20,sigmoid,,,1,0.9860000014305115,0.0,0.0,26.03499984741211,0.03840983314234205,0.0
NOR,weights_and_delays,50,sigmoid,,,1,0.9850000143051147,0.0,0.0,39.65999984741211,0.02521432183175492,0.0
NOR,weights_only,10,sigmoid,,,1,0.843999981880188,0.0,0.0,10.472999572753906,0.0954836284536434,0.0
NOR,weights_only,20,sigmoid,,,1,0.9020000100135803,0.0,0.0,35.861000061035156,0.027885446537966242,0.0
NOR,weights_only,50,sigmoid,,,1,0.8970000147819519,0.0,0.0,69.07099914550781,0.01447785629817456,0.0
OR,delays_only,10,sigmoid,,,1,0.7559999823570251,0.0,0.0,0.28299999237060547,3.5335689998550954,0.0
OR,delays_only,20,sigmoid,,,1,0.7559999823570251,0.0,0.0,1.843000054359436,0.5425935813917085,0.0
OR,delays_only,50,sigmoid,,,1,0.7559999823570251,0.0,0.0,2.507999897003174,0.39872409930913744,0.0
OR,weights_and_delays,10,sigmoid,,,1,0.9649999737739563,0.0,0.0,18.804000854492188,0.05318017201435644,0.0
OR,weights_and_delays,20,sigmoid,,,1,0.9779999852180481,0.0,0.0,26.680999755859375,0.037479854921118216,0.0
OR,weights_and_delays,50,sigmoid,,,1,0.9860000014305115,0.0,0.0,41.0989990234375,0.024331492828565743,0.0
OR,weights_only,10,sigmoid,,,1,0.8560000061988831,0.0,0.0,20.172000885009766,0.04957366429341776,0.0
OR,weights_only,20,sigmoid,,,1,0.8880000114440918,0.0,0.0,28.80500030517578,0.03471619473721431,0.0
OR,weights_only,50,sigmoid,,,1,0.8970000147819519,0.0,0.0,67.23400115966797,0.014873426878540073,0.0
XNOR,delays_only,10,sigmoid,,,1,0.5170000195503235,0.0,0.0,0.3140000104904175,3.1847132693981792,0.0
