run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,best_val_acc,best_val_epoch,final_train_acc,final_val_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_B_IMP_A_weights_only_sigmoid_h10_seed42,B_IMP_A,weights_only,10,42,sigmoid,1.0,0.0,0.781000018119812,0.7780509144067764,186,0.78466796875,0.7619207948446274,11.817999839782715,0.08461668755771332,0.002,0.4351000189781189
step1_B_IMP_A_weights_only_sigmoid_h20_seed42,B_IMP_A,weights_only,20,42,sigmoid,1.0,0.0,0.8109999895095825,0.8017914891242981,179,0.8033203147351742,0.7899717092514038,18.64299964904785,0.053639436722892,0.001,0.3790999948978424
step1_B_IMP_A_weights_only_sigmoid_h50_seed42,B_IMP_A,weights_only,50,42,sigmoid,1.0,0.0,0.8029999732971191,0.7996363192796707,179,0.8058105483651161,0.7878165394067764,41.45800018310547,0.024120796844598152,0.0004,0.34483999013900757
step1_NAND_delays_only_sigmoid_h10_seed42,NAND,delays_only,10,42,sigmoid,1.0,,0.7860000133514404,0.7953596413135529,189,0.777099609375,0.7814857214689255,0.24699999392032623,4.0485830956035,0.002,0.024300001561641693
step1_NAND_delays_only_sigmoid_h20_seed42,NAND,delays_only,20,42,sigmoid,1.0,,0.8569999933242798,0.8793103396892548,198,0.8529785163700581,0.8627087771892548,1.5490000247955322,0.6455777817899001,0.001,0.06360000371932983
step1_NAND_delays_only_sigmoid_h50_seed42,NAND,delays_only,50,42,sigmoid,1.0,,0.8920000195503235,0.9074286073446274,191,0.8958984389901161,0.8922076970338821,2.055000066757202,0.48661798905826986,0.0004,0.03743999823927879
step1_NAND_weights_and_delays_sigmoid_h10_seed42,NAND,weights_and_delays,10,42,sigmoid,1.0,,0.9359999895095825,0.9490840435028076,185,0.9381347671151161,0.9386449307203293,4.965000152587891,0.20140986289371476,0.002,0.2849999964237213
step1_NAND_weights_and_delays_sigmoid_h20_seed42,NAND,weights_and_delays,20,42,sigmoid,1.0,,0.9649999737739563,0.9719490855932236,187,0.9654785171151161,0.967268317937851,8.420000076293945,0.11876484452956787,0.001,0.23250000178813934
step1_NAND_weights_and_delays_sigmoid_h50_seed42,NAND,weights_and_delays,50,42,sigmoid,1.0,,0.9890000224113464,0.9940395951271057,189,0.9833496101200581,0.978987067937851,20.66699981689453,0.04838631677842934,0.0004,0.23584000766277313
step1_NAND_weights_only_sigmoid_h10_seed42,NAND,weights_only,10,42,sigmoid,1.0,0.0,0.7590000033378601,0.7830347567796707,133,0.7677246108651161,0.7693628817796707,3.8589999675750732,0.2591344929780816,0.002,0.1996000111103058
step1_NAND_weights_only_sigmoid_h20_seed42,NAND,weights_only,20,42,sigmoid,1.0,0.0,0.7850000262260437,0.8079539388418198,184,0.795166015625,0.7888941317796707,13.425000190734863,0.0744878946586638,0.001,0.32145002484321594
step1_NAND_weights_only_sigmoid_h50_seed42,NAND,weights_only,50,42,sigmoid,1.0,0.0,0.7910000085830688,0.8243871182203293,178,0.804931640625,0.8001414388418198,31.812000274658203,0.031434678466182815,0.0004,0.31178000569343567
