run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_NOR_weights_and_delays_h10_seed42,NOR,weights_and_delays,10,42,sigmoid,,,0.9409999847412109,9.687999725341797,0.10322048186935921,0.0,0.0
step1_NOR_weights_and_delays_h20_seed42,NOR,weights_and_delays,20,42,sigmoid,,,0.9860000014305115,26.03499984741211,0.03840983314234205,0.0,0.0
step1_NOR_weights_and_delays_h50_seed42,NOR,weights_and_delays,50,42,sigmoid,,,0.9850000143051147,39.65999984741211,0.02521432183175492,0.0,0.0
step1_NOR_weights_only_h10_seed42,NOR,weights_only,10,42,sigmoid,,,0.843999981880188,10.472999572753906,0.0954836284536434,0.0,0.0
step1_NOR_weights_only_h20_seed42,NOR,weights_only,20,42,sigmoid,,,0.9020000100135803,35.861000061035156,0.027885446537966242,0.0,0.0
step1_NOR_weights_only_h50_seed42,NOR,weights_only,50,42,sigmoid,,,0.8970000147819519,69.07099914550781,0.01447785629817456,0.0,0.0
step1_OR_delays_only_h10_seed42,OR,delays_only,10,42,sigmoid,,,0.7559999823570251,0.28299999237060547,3.5335689998550954,0.0,0.0
step1_OR_delays_only_h20_seed42,OR,delays_only,20,42,sigmoid,,,0.7559999823570251,1.843000054359436,0.5425935813917085,0.0,0.0
step1_OR_delays_only_h50_seed42,OR,delays_only,50,42,sigmoid,,,0.7559999823570251,2.507999897003174,0.39872409930913744,0.0,0.0
step1_OR_weights_and_delays_h10_seed42,OR,weights_and_delays,10,42,sigmoid,,,0.9649999737739563,18.804000854492188,0.05318017201435644,0.0,0.0
step1_OR_weights_and_delays_h20_seed42,OR,weights_and_delays,20,42,sigmoid,,,0.9779999852180481,26.680999755859375,0.037479854921118216,0.0,0.0
step1_OR_weights_and_delays_h50_seed42,OR,weights_and_delays,50,42,sigmoid,,,0.9860000014305115,41.0989990234375,0.024331492828565743,0.0,0.0
step1_OR_weights_only_h10_seed42,OR,weights_only,10,42,sigmoid,,,0.8560000061988831,20.172000885009766,0.04957366429341776,0.0,0.0
step1_OR_weights_only_h20_seed42,OR,weights_only,20,42,sigmoid,,,0.8880000114440918,28.80500030517578,0.03471619473721431,0.0,0.0
step1_OR_weights_only_h50_seed42,OR,weights_only,50,42,sigmoid,,,0.8970000147819519,67.23400115966797,0.014873426878540073,0.0,0.0
step1_XNOR_delays_only_h10_seed42,XNOR,delays_only,10,42,sigmoid,,,0.5170000195503235,0.3140000104904175,3.1847132693981792,0.0,0.0
step1_XNOR_delays_only_h20_seed42,XNOR,delays_only,20,42,sigmoid,,,0.6169999837875366,1.5750000476837158,0.6349206156981752,0.0,0.0
step1_XNOR_delays_only_h50_seed42,XNOR,delays_only,50,42,sigmoid,,,0.6069999933242798,2.5820000171661377,0.38729666667374596,0.0,0.0
step1_XNOR_weights_and_delays_h10_seed42,XNOR,weights_and_delays,10,42,sigmoid,,,0.8460000157356262,4.804999828338623,0.20811655270043164,0.0,0.0
step1_XNOR_weights_and_delays_h20_seed42,XNOR,weights_and_delays,20,42,sigmoid,,,0.9330000281333923,10.9350004196167,0.09144947065626657,0.0,0.0
