condition,K,hidden_size,n_seeds,pooled_accuracy_mean,worst_query_accuracy_mean,worst_query_accuracy_min_seed,exact_trial_accuracy_mean,all_evaluated_seeds_pass_worst_tau,evidence_status,promotion_gate
w_and_d,3,10,2,0.8801666796207428,0.8055000007152557,0.765999972820282,0.6730000078678131,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,15,2,0.887499988079071,0.7604999840259552,0.7599999904632568,0.6955000162124634,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,20,2,0.9000000059604645,0.7634999752044678,0.7609999775886536,0.722000002861023,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,25,2,0.9020000100135803,0.8229999840259552,0.7649999856948853,0.742499977350235,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,30,2,0.9235000014305115,0.8024999797344208,0.7609999775886536,0.7789999842643738,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,40,2,0.9435000121593475,0.871999979019165,0.8389999866485596,0.840499997138977,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,50,2,0.9594999849796295,0.8939999938011169,0.8769999742507935,0.887499988079071,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,60,2,0.9535000026226044,0.8605000078678131,0.7870000004768372,0.8605000078678131,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,75,2,0.9496666789054871,0.8665000200271606,0.800000011920929,0.8490000069141388,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,100,2,0.9416666626930237,0.8334999978542328,0.7839999794960022,0.824999988079071,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,125,2,0.9706666767597198,0.9280000030994415,0.8840000033378601,0.9120000004768372,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,3,150,2,0.9441666603088379,0.8495000004768372,0.7829999923706055,0.8409999907016754,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,10,2,0.8401250243186951,0.7510000169277191,0.7440000176429749,0.47849999368190765,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,15,2,0.8384999930858612,0.7485000193119049,0.7440000176429749,0.5174999833106995,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,20,2,0.8598749935626984,0.7465000152587891,0.7440000176429749,0.5174999833106995,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,25,2,0.8682500123977661,0.7524999976158142,0.746999979019165,0.5460000187158585,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,30,2,0.8664999902248383,0.7465000152587891,0.7350000143051147,0.5320000052452087,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,40,2,0.8892500102519989,0.7510000169277191,0.7440000176429749,0.6074999868869781,False,exploratory,blocked: fewer than canonical-min-seeds
w_and_d,4,50,2,0.8917500078678131,0.776500016450882,0.7580000162124634,0.612500011920929,False,exploratory,blocked: fewer than canonical-min-seeds
