K,condition,total_hidden_neurons,output_window_len,T,seed,worst_query_balanced_accuracy,mean_balanced_accuracy,exact_trial_accuracy,pooled_accuracy,routing_selectivity_gap,per_query_balanced_accuracy,per_output_window_hidden_spikes,delay_query_mean_steps,delay_query_std_steps,delay_query_schedule_mae_steps,run_dir,resource_latency_steps,resource_input_channels,resource_hidden_neurons_layer1,resource_hidden_neurons_layer2,resource_hidden_neurons_total,resource_output_neurons_or_logits,resource_spiking_neurons_total,resource_synapses_input_hidden,resource_synapses_hidden_hidden,resource_synapses_hidden_output,resource_delayed_synapses_total,resource_trainable_parameters,resource_parameter_tensors_total_elements,resource_synaptic_weight_storage_elements,resource_delay_value_storage_elements,resource_trainable_delay_parameters,resource_decoder_parameters,resource_decoder_trainable_parameters,resource_decoder_storage_elements,resource_model_scalar_storage_elements,resource_model_scalar_storage_bytes_fp32,resource_delay_buffer_depth,resource_delay_buffer_elements_per_sample,resource_delay_buffer_bytes_per_sample_fp32,resource_neuron_state_elements_per_sample,resource_neuron_state_bytes_per_sample_fp32,resource_neuron_updates_per_trial,resource_dense_synapse_macs_per_trial,resource_delay_buffer_reads_per_trial,resource_delay_interpolation_elementwise_ops_per_trial,resource_decoder_weight_macs_per_trial,resource_decoder_bias_adds_per_trial,resource_decoder_activation_ops_per_trial,resource_readout_accumulation_adds_per_trial,resource_observation_steps,resource_observation_bins,resource_readout_feature_dim,resource_mean_input_spikes_per_trial,resource_mean_hidden1_spikes_per_trial,resource_mean_hidden2_spikes_per_trial,resource_mean_output_spikes_per_trial,resource_mean_synaptic_events_input_hidden,resource_mean_synaptic_events_hidden_hidden,resource_mean_synaptic_events_hidden_output,resource_mean_synaptic_events_total
5,spatial_independent_d0,160,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[18.75, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",12.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T40_N160_w6_seed307,40,20,160,0,160,5,160,640,0,0,640,2001,2001,640,640,0,1361,1361,1361,2641,10564,1,20,80,320,1280,6400,25600,51200,76800,6600,205,200,6400,40,1,32,20.0,20.75,,,640.0,0.0,0.0,640.0
5,spatial_independent_d0,160,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[18.75, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",16.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T50_N160_w8_seed307,50,20,160,0,160,5,160,640,0,0,640,2001,2001,640,640,0,1361,1361,1361,2641,10564,1,20,80,320,1280,8000,32000,64000,96000,6600,205,200,8000,50,1,32,20.0,20.75,,,640.0,0.0,0.0,640.0
5,shared_temporal_oracle,40,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[3.85888671875, 3.5458984375, 3.4697265625, 4.10986328125, 4.1796875]","[0.0, 4.0, 8.0, 12.0, 16.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T30_N40_w4_seed307,30,20,40,0,40,5,40,800,0,0,800,2481,2481,800,800,0,1681,1681,1681,3281,13124,17,340,1360,80,320,1200,24000,48000,72000,8200,205,200,800,20,1,40,20.0,19.1640625,,,800.0,0.0,0.0,800.0
5,shared_temporal_oracle,40,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[4.001953125, 3.0498046875, 3.11669921875, 4.65283203125, 3.72265625]","[0.0, 6.0, 12.0, 18.0, 24.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T40_N40_w6_seed307,40,20,40,0,40,5,40,800,0,0,800,2481,2481,800,800,0,1681,1681,1681,3281,13124,25,500,2000,80,320,1600,32000,64000,96000,8200,205,200,1200,30,1,40,20.0,18.5439453125,,,800.0,0.0,0.0,800.0
5,shared_temporal_oracle,40,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[3.37255859375, 3.38623046875, 2.869140625, 4.44873046875, 3.5224609375]","[0.0, 8.0, 16.0, 24.0, 32.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T50_N40_w8_seed307,50,20,40,0,40,5,40,800,0,0,800,2481,2481,800,800,0,1681,1681,1681,3281,13124,33,660,2640,80,320,2000,40000,80000,120000,8200,205,200,1600,40,1,40,20.0,17.84912109375,,,800.0,0.0,0.0,800.0
5,shared_temporal_oracle,80,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[5.0458984375, 5.10009765625, 4.01123046875, 7.3056640625, 8.81103515625]","[0.0, 4.0, 8.0, 12.0, 16.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T30_N80_w4_seed307,30,20,80,0,80,5,80,1600,0,0,1600,8161,8161,1600,1600,0,6561,6561,6561,9761,39044,17,340,1360,160,640,2400,48000,96000,144000,32400,405,400,1600,20,1,80,20.0,30.27392578125,,,1600.0,0.0,0.0,1600.0
5,shared_temporal_oracle,80,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[5.36669921875, 4.0185546875, 4.12109375, 5.52734375, 6.9228515625]","[0.0, 6.0, 12.0, 18.0, 24.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T40_N80_w6_seed307,40,20,80,0,80,5,80,1600,0,0,1600,8161,8161,1600,1600,0,6561,6561,6561,9761,39044,25,500,2000,160,640,3200,64000,128000,192000,32400,405,400,2400,30,1,80,20.0,25.95654296875,,,1600.0,0.0,0.0,1600.0
5,shared_temporal_oracle,80,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[4.8017578125, 3.939453125, 3.8994140625, 4.951171875, 6.51708984375]","[0.0, 8.0, 16.0, 24.0, 32.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T50_N80_w8_seed307,50,20,80,0,80,5,80,1600,0,0,1600,8161,8161,1600,1600,0,6561,6561,6561,9761,39044,33,660,2640,160,640,4000,80000,160000,240000,32400,405,400,3200,40,1,80,20.0,24.10888671875,,,1600.0,0.0,0.0,1600.0
5,shared_temporal_oracle,120,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[2.7412109375, 7.1103515625, 7.5107421875, 7.60498046875, 7.51611328125]","[0.0, 4.0, 8.0, 12.0, 16.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T30_N120_w4_seed307,30,20,120,0,120,5,120,2400,0,0,2400,17041,17041,2400,2400,0,14641,14641,14641,19441,77764,17,340,1360,240,960,3600,72000,144000,216000,72600,605,600,2400,20,1,120,20.0,32.4833984375,,,2400.0,0.0,0.0,2400.0
5,shared_temporal_oracle,120,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[2.7412109375, 6.9033203125, 6.9912109375, 7.69384765625, 6.3759765625]","[0.0, 6.0, 12.0, 18.0, 24.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\shared_temporal_oracle\K5\T40_N120_w6_seed307,40,20,120,0,120,5,120,2400,0,0,2400,17041,17041,2400,2400,0,14641,14641,14641,19441,77764,25,500,2000,240,960,4800,96000,192000,288000,72600,605,600,3600,30,1,120,20.0,30.70556640625,,,2400.0,0.0,0.0,2400.0
