K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,base_arrival_lambda,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,gradient_clipping_flag,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_task_gradient_mean_abs,initial_task_gradient_norm,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_mean_abs,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,initial_unweighted_arrival_gradient_mean_abs,initial_unweighted_arrival_gradient_norm,initial_weighted_arrival_gradient_mean_abs,initial_weighted_arrival_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,minimum_clip_coefficient,normalization_factor,operation,protocol_id,seed,selection_role,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.625,0.3623998165130615,3.999950408935547,3.915898323059082,3.6376001834869385,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.5,0.00045933279056953324,0.0031128826186868847,0.9375,0.0016126201117003802,1.0,0.007110843092192429,0.1599249243736267,0.6396996974945068,0.0015992492437362671,0.0063969969749450685,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1123,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.8125,0.27962803840637207,3.999966621398926,3.9385695457458496,3.720371961593628,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.4375,0.0005816125449200626,0.0032659804716709865,1.0,0.0017245213639398571,1.0,0.0076157155777139855,0.1599249243736267,0.6396996974945068,0.0015992492437362671,0.0063969969749450685,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1229,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.75,0.8082480430603027,4.000644207000732,3.8720734119415283,3.1917519569396973,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.6875,0.0006470043799993164,0.003547055443335631,0.9375,0.001214088755659759,1.0,0.0055225604039850695,0.1599249243736267,0.6396996974945068,0.0015992492437362671,0.0063969969749450685,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1321,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.875,0.3848707675933838,3.9999847412109375,3.9473352432250977,3.615129232406616,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.625,0.0007451780509200034,0.003958262740051654,1.0,0.001611626306839753,1.0,0.0075645769004972505,0.1599249243736267,0.6396996974945068,0.0015992492437362671,0.0063969969749450685,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1427,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.75,0.6670131683349609,4.004814624786377,3.901034116744995,3.332986831665039,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.375,0.0004600488448431861,0.0023819170200596804,1.0,0.0016741539366194047,1.0,0.00710129709941859,0.1599249243736267,0.6396996974945068,0.0015992492437362671,0.0063969969749450685,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1523,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.9375,0.12025165557861328,4.120251655578613,4.007407188415527,3.9780502319335938,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.6875,0.00023539195092325826,0.0020044195676778816,0.9375,0.0015138651287998073,1.0,0.006229795377314884,0.15992498397827148,0.6396999359130859,0.0015992498397827148,0.006396999359130859,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1123,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.06848263740539551,4.009765625,3.9940645694732666,3.9315173625946045,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5,9.666688799825351e-05,0.0005249195891299126,1.0,0.0016161752209882252,1.0,0.006485623694821588,0.15992498397827148,0.6396999359130859,0.0015992498397827148,0.006396999359130859,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1229,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.9375,0.11713647842407227,4.117136478424072,3.995466470718384,3.9027581214904785,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5625,0.0002136850348790631,0.001239272741736866,1.0,0.0016980456639430486,1.0,0.0068929944695756895,0.15992498397827148,0.6396999359130859,0.0015992498397827148,0.006396999359130859,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1321,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.9375,0.12102818489074707,4.03658390045166,3.9873015880584717,3.878971815109253,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.3125,0.0002530868289341015,0.0019264636699240943,1.0,0.0016101646106108092,1.0,0.006722457685510022,0.15992498397827148,0.6396999359130859,0.0015992498397827148,0.006396999359130859,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1427,r1_normalization,0.0,r1,4.0,15,False,0.01
1,1.0,0.01,per_hidden_mean_baseline,1.0,0.01,final_only,0.0,True,per_hidden_mean_baseline,1.0,0.01,post_neuron,single_event,True,4,True,0.9375,0.3084688186645508,4.02942419052124,3.97792387008667,3.691531181335449,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.625,0.0002605833349136333,0.0021489397848470097,0.9375,0.0015330101159634069,1.0,0.006458186232866453,0.15992498397827148,0.6396999359130859,0.0015992498397827148,0.006396999359130859,2,True,True,False,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,1523,r1_normalization,0.0,r1,4.0,15,False,0.01
