estimator_id,delay_gradient_mode,delay_gradient_sigma,intervention_rank,granularity,delay_tying,independent_delay_parameters,perturbation_delay_steps,seed,raw_gradient_mean,raw_gradient_min,raw_gradient_max,mean_gradient_target_directed,target_directed_coordinate_fraction,nonzero_coordinate_fraction,gradient_norm,exact_interface_patterns,forward_record_sha256,updates,test_split_opened
legacy_right_linear,right_linear,0.75,0,per_hidden,post_neuron,16,5.0,2579,-0.0002095131887926982,-0.000774384243413806,0.0003665591939352453,False,0.125,1.0,0.0014030749249202017,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,3.0,2503,-0.015485396608710289,-0.015485396608710289,-0.015485396608710289,True,1.0,1.0,0.015485396608710289,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,3.0,2521,-0.011337441392242908,-0.011337441392242908,-0.011337441392242908,True,1.0,1.0,0.011337441392242908,0,d80e98cf1cf5b1f2bdf4e1117e10e300dfb64e26f489fd9fe129e02699e5f718,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,3.0,2539,-0.010312025435268879,-0.010312025435268879,-0.010312025435268879,True,1.0,1.0,0.010312025435268879,0,7bb18c9a45b3c6bc703b0d1a011c210254254aa21a8ad0ec9808daa6ef0c9bac,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,3.0,2551,-0.010542387142777443,-0.010542387142777443,-0.010542387142777443,True,1.0,1.0,0.010542387142777443,0,871bf310077702dcd26e04cdbd9b32f10291a4a242a03d7297e4e048a58532af,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,3.0,2579,-0.011057829484343529,-0.011057829484343529,-0.011057829484343529,True,1.0,1.0,0.011057829484343529,0,05d0d66945271e9f67582173e3f931f80a75bd351d39d6db4202cc86224c388a,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,5.0,2503,0.0009573089191690087,0.0009573089191690087,0.0009573089191690087,True,1.0,1.0,0.0009573089191690087,0,871319ce6dd04193d50f062af62e6d1b894175587b491a8de14199ef9d7a9f75,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,5.0,2521,4.35153633588925e-05,4.35153633588925e-05,4.35153633588925e-05,True,1.0,1.0,4.35153633588925e-05,0,3ee47cf1edc1477fc68ec5f9b662859ea113a5befc3f7d4d6ccf691241dcc534,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,5.0,2539,-0.0004055248573422432,-0.0004055248573422432,-0.0004055248573422432,False,0.0,1.0,0.0004055248573422432,0,4e0d766bc4db33e2aaaa812e8630fdbfde7d1b7a3b81635fcadc7550d48f9f48,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,5.0,2551,3.504311462165788e-05,3.504311462165788e-05,3.504311462165788e-05,True,1.0,1.0,3.504311462165788e-05,0,de2b17c8a956a9ce1746da7bc456c4f760b245508436af2bd652bf1d4d7ebe3e,0,False
symmetric_integer,symmetric_integer,0.75,1,global,global,1,5.0,2579,0.0006549961981363595,0.0006549961981363595,0.0006549961981363595,True,1.0,1.0,0.0006549961981363595,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
