variant,mean_wad_worst_query,mean_scalar_worst_query,paired_wad_minus_baseline,mean_wad_minus_baseline,n_seed_gains_ge_0_03,paired_wad_minus_scalar,mean_wad_minus_scalar,min_wad_delay_movement,max_wad_saturation,mean_wad_exact_trial,mean_scalar_exact_trial,retained
baseline,0.6759999990463257,0.6886666615804037,"[0.0, 0.0, 0.0]",0.0,0,"[-0.02799999713897705, -0.06000000238418579, 0.050000011920928955]",-0.012666662534077963,0.8831977844238281,0.0,0.43066667517026264,0.40800000230471295,False
narrow_d10,0.6379999915758768,0.6473333438237509,"[-0.0040000081062316895, -0.018000006675720215, -0.09200000762939453]",-0.038000007470448814,0,"[-0.058000028133392334, -0.008000016212463379, 0.03799998760223389]",-0.009333352247873941,0.35016533732414246,0.0,0.3953333298365275,0.37533333897590637,False
lr_low,0.6540000240008036,0.6920000116030375,"[0.058000028133392334, -0.02199995517730713, -0.10199999809265137]",-0.021999975045522053,1,"[0.0, -0.06599998474121094, -0.04799997806549072]",-0.03799998760223389,0.34244459867477417,0.0,0.38199999928474426,0.3746666709582011,False
lr_high,0.606666644414266,0.699999988079071,"[-0.12800002098083496, -0.02799999713897705, -0.05200004577636719]",-0.06933335463205974,0,"[-0.15799999237060547, -0.09200000762939453, -0.030000030994415283]",-0.0933333436648051,1.6033306121826172,0.0,0.3839999934037526,0.4059999883174896,False
scalar_noise,0.6540000041325887,0.6886666615804037,"[-0.1119999885559082, 0.07600003480911255, -0.030000030994415283]",-0.02199999491373698,1,"[-0.13999998569488525, 0.016000032424926758, 0.019999980926513672]",-0.03466665744781494,1.0431005954742432,0.0,0.40399999419848126,0.40800000230471295,False
warmup20,0.6239999930063883,0.6439999938011169,"[-0.08600002527236938, -0.02399998903274536, -0.046000003814697266]",-0.05200000603993734,0,"[-0.06600004434585571, -0.07999998331069946, 0.08600002527236938]",-0.020000000794728596,0.8793542385101318,0.0,0.4106666644414266,0.3826666673024495,False
alternating,0.6413333415985107,0.6446666518847147,"[-0.013999998569488525, -0.001999974250793457, -0.08799999952316284]",-0.03466665744781494,0,"[0.012000024318695068, -0.015999972820281982, -0.0059999823570251465]",-0.00333331028620402,0.548873245716095,0.0,0.32866666714350384,0.3459999958674113,False
