variant,condition,seed,worst_query_accuracy,exact_trial_accuracy,mean_hidden_spikes,final_delay_movement,final_delay_saturation,mean_delay_gradient,run_dir
lr_low,w_and_d,0,0.7200000286102295,0.421999990940094,9.92199993133545,0.35841143131256104,0.0,0.05961919751582754,runs\exploratory\wad_optimization_audit_v1\stage_b\lr_low\XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
lr_low,w_and_d,1,0.6140000224113464,0.3720000088214874,7.085999965667725,0.34244459867477417,0.0,0.03793881815871475,runs\exploratory\wad_optimization_audit_v1\stage_b\lr_low\XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
lr_low,w_and_d,42,0.628000020980835,0.35199999809265137,10.0600004196167,0.4275847375392914,0.0,0.044492264635548874,runs\exploratory\wad_optimization_audit_v1\stage_b\lr_low\XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
narrow_d10,scalar,0,0.7160000205039978,0.4020000100135803,10.76200008392334,0.1922595500946045,0.0,0.019023604522559693,runs\exploratory\wad_optimization_audit_v1\stage_b\narrow_d10\XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
narrow_d10,scalar,1,0.6259999871253967,0.33799999952316284,7.323999881744385,0.19199514389038086,0.0,0.022649630100333697,runs\exploratory\wad_optimization_audit_v1\stage_b\narrow_d10\XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
narrow_d10,scalar,42,0.6000000238418579,0.38600000739097595,8.461999893188477,0.19189989566802979,0.0,0.018265844313763043,runs\exploratory\wad_optimization_audit_v1\stage_b\narrow_d10\XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
narrow_d10,w_and_d,0,0.6579999923706055,0.44999998807907104,10.675999641418457,0.4396180808544159,0.0,0.02126465150183621,runs\exploratory\wad_optimization_audit_v1\stage_b\narrow_d10\XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
narrow_d10,w_and_d,1,0.6179999709129333,0.36399999260902405,7.245999813079834,0.35016533732414246,0.0,0.011141524315406602,runs\exploratory\wad_optimization_audit_v1\stage_b\narrow_d10\XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
narrow_d10,w_and_d,42,0.6380000114440918,0.3720000088214874,8.895999908447266,0.43785178661346436,0.0,0.01436818909518685,runs\exploratory\wad_optimization_audit_v1\stage_b\narrow_d10\XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
scalar_noise,scalar,0,0.6899999976158142,0.4000000059604645,12.166000366210938,0.5782425403594971,0.0,0.053291511546331896,runs\exploratory\wad_optimization_audit_v1\stage_b\scalar_noise\XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
scalar_noise,scalar,1,0.6959999799728394,0.42800000309944153,7.426000118255615,0.5771749019622803,0.0,0.06374154766488987,runs\exploratory\wad_optimization_audit_v1\stage_b\scalar_noise\XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
scalar_noise,scalar,42,0.6800000071525574,0.3959999978542328,11.121999740600586,0.5759220123291016,0.0,0.04955891203346746,runs\exploratory\wad_optimization_audit_v1\stage_b\scalar_noise\XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
scalar_noise,w_and_d,0,0.550000011920929,0.36399999260902405,9.65999984741211,1.2497906684875488,0.0,0.05031234296262799,runs\exploratory\wad_optimization_audit_v1\stage_b\scalar_noise\XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
scalar_noise,w_and_d,1,0.7120000123977661,0.3540000021457672,7.544000148773193,1.1364167928695679,0.0,0.04757347567599878,runs\exploratory\wad_optimization_audit_v1\stage_b\scalar_noise\XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
scalar_noise,w_and_d,42,0.699999988079071,0.49399998784065247,11.48799991607666,1.0431005954742432,0.0,0.07508533939276861,runs\exploratory\wad_optimization_audit_v1\stage_b\scalar_noise\XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
warmup20,scalar,0,0.6420000195503235,0.3919999897480011,12.60200023651123,0.5768194198608398,0.0,0.06110783829126518,runs\exploratory\wad_optimization_audit_v1\stage_b\warmup20\XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
warmup20,scalar,1,0.6919999718666077,0.42800000309944153,7.486000061035156,0.5755133628845215,0.0,0.0654164407482282,runs\exploratory\wad_optimization_audit_v1\stage_b\warmup20\XOR_scalar_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
warmup20,scalar,42,0.5979999899864197,0.328000009059906,11.420000076293945,0.5756934285163879,0.0,0.04918351303882168,runs\exploratory\wad_optimization_audit_v1\stage_b\warmup20\XOR_scalar_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
warmup20,w_and_d,0,0.5759999752044678,0.40799999237060547,11.836000442504883,1.1744346618652344,0.0,0.055466010620025645,runs\exploratory\wad_optimization_audit_v1\stage_b\warmup20\XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear
warmup20,w_and_d,1,0.6119999885559082,0.3840000033378601,6.802000045776367,0.8793542385101318,0.0,0.03668667126631864,runs\exploratory\wad_optimization_audit_v1\stage_b\warmup20\XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear
warmup20,w_and_d,42,0.6840000152587891,0.4399999976158142,10.565999984741211,0.9336793422698975,0.0,0.04187513786780733,runs\exploratory\wad_optimization_audit_v1\stage_b\warmup20\XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear
