stage,arm,seed,perturbation,artifacts_complete,provenance_valid,finite_and_legal,technical_valid,worst_query_balanced_accuracy,exact_trial_accuracy,minimum_window_activity_fraction,maximum_schedule_error_steps,schedule_error_reduction_fraction,joint_source_checkpoint,joint_source_selected_update,joint_source_worst_query_balanced_accuracy,joint_source_exact_trial_accuracy,joint_source_minimum_window_activity_fraction,joint_source_maximum_schedule_error_steps
w0,centroid_scaffold,3657,,True,True,True,True,0.9990234375,0.99951171875,1.0,0.5007987022399902,0.9687000806435955,descriptive_best_model.pt,380,1.0,1.0,1.0,0.5003433227539062
w0,centroid_scaffold,3669,,True,True,True,True,1.0,1.0,1.0,0.5018496513366699,0.9686343963240742,descriptive_best_model.pt,320,1.0,1.0,1.0,0.5014266967773438
w0,centroid_scaffold,3691,,True,True,True,True,0.99951171875,0.99951171875,1.0,0.5000019073486328,0.9687498803250474,descriptive_best_model.pt,400,0.99951171875,0.99951171875,1.0,0.5000019073486328
