stage,arm,seed,perturbation,artifacts_complete,provenance_valid,finite_and_legal,technical_valid,worst_query_balanced_accuracy,exact_trial_accuracy,minimum_window_activity_fraction,maximum_schedule_error_steps,schedule_error_reduction_fraction
w2,delay_frozen,3657,uniform_early_2_steps,True,True,True,True,0.9990234375,0.99755859375,1.0,1.5671405792236328,1.2170869267824846e-06
w2,delay_frozen,3669,uniform_early_2_steps,True,True,True,True,0.99951171875,0.99951171875,1.0,1.9804534912109375,1.926169907447536e-06
w2,delay_frozen,3691,uniform_early_2_steps,True,True,True,True,1.0,1.0,1.0,1.5359363555908203,0.0
w2,centroid_restore,3657,uniform_early_2_steps,True,True,True,True,0.9993489980697632,0.9990234375,1.0,0.501633882522583,0.6799053775768773
w2,centroid_restore,3669,uniform_early_2_steps,True,True,True,True,0.9990234375,0.99853515625,1.0,0.5021600723266602,0.7464423641809445
w2,centroid_restore,3691,uniform_early_2_steps,True,True,True,True,0.99951171875,0.9990234375,1.0,0.5011062622070312,0.6737454254644077
w2,task_only_restore,3657,uniform_early_2_steps,True,True,True,True,1.0,1.0,1.0,1.685074806213379,-0.07525309322642441
w2,task_only_restore,3669,uniform_early_2_steps,True,True,True,True,0.9996744394302368,0.99951171875,1.0,1.7095370292663574,0.13679682759816245
w2,task_only_restore,3691,uniform_early_2_steps,True,True,True,True,0.99951171875,0.99853515625,1.0,1.3535932302474976,0.11871789132381193
w2,delay_frozen,3657,compressed_spacing,True,True,True,True,0.9827474355697632,0.984375,0.91943359375,3.5671396255493164,5.34699454793701e-07
w2,delay_frozen,3669,compressed_spacing,True,True,True,True,0.5,0.7333984375,0.0,3.9804582595825195,4.791779223564054e-07
w2,delay_frozen,3691,compressed_spacing,True,True,True,True,0.98876953125,0.98291015625,0.91455078125,3.5359363555908203,-2.69709202235242e-07
w2,centroid_restore,3657,compressed_spacing,True,True,True,True,1.0,1.0,1.0,0.5065305233001709,0.8580010020267783
w2,centroid_restore,3669,compressed_spacing,True,True,True,True,0.9990234375,0.9990234375,1.0,0.5073938369750977,0.8725288495057879
w2,centroid_restore,3691,compressed_spacing,True,True,True,True,0.9990234375,0.99853515625,1.0,0.5012741088867188,0.8582343702843032
w2,task_only_restore,3657,compressed_spacing,True,True,True,True,1.0,1.0,1.0,2.0614490509033203,0.4221005721551516
w2,task_only_restore,3669,compressed_spacing,True,True,True,True,0.9986978769302368,0.998046875,1.0,2.1991539001464844,0.4475126473022882
w2,task_only_restore,3691,compressed_spacing,True,True,True,True,0.99951171875,0.99951171875,0.99951171875,1.884063720703125,0.4671668154112917
