hidden_size,n,balanced_accuracy_mean,balanced_accuracy_sd,exact_trial_mean,silent_rate_mean,collision_rate_mean,mean_output_spikes,target_timing_hit_rate_mean,mean_abs_target_timing_error_steps,passes_all_locked_gates
4,3,0.8316855231920878,0.14577262433842603,0.8307291666666666,0.5149739583333334,0.0,0.4850260416666667,0.4850260416666667,0.0,False
8,3,0.8312861323356628,0.1461656281398728,0.8313802083333334,0.16861979166666666,0.0,0.8313802083333334,0.8313802083333334,0.0,False
12,3,0.9143049915631613,0.14842810856764838,0.9173177083333334,0.0,0.17838541666666666,1.1783854166666667,1.0,0.0,False
16,3,0.8360094825426737,0.1420531491511968,0.8359375,0.1640625,0.0,0.8359375,0.8359375,0.0,False
24,3,0.9190283417701721,0.14024702602716452,0.921875,0.0,0.078125,1.078125,1.0,0.0,False
