condition,time_bin,candidate_two_hop_mass,realized_output_arrival_mass
fixed_matched,33,0.0,0.0
fixed_matched,34,0.0,0.0
fixed_matched,35,0.0,0.0
fixed_matched,36,0.0,0.0
fixed_matched,37,0.0,0.0
fixed_matched,38,0.0,0.0
fixed_matched,39,0.0,0.0
fixed_matched,40,0.0,0.0
fixed_matched,41,0.0,0.0
fixed_matched,42,0.0,0.0
fixed_matched,43,0.0,0.0
fixed_matched,44,0.0,0.0
fixed_matched,45,0.0,0.0
fixed_matched,46,0.0,0.0
fixed_matched,47,0.0,0.0
fixed_matched,48,0.0,0.0
fixed_matched,49,0.0,0.0
fixed_matched,50,0.0,0.0
fixed_matched,51,0.0,0.0
fixed_matched,52,0.0,0.0
fixed_matched,53,0.0,0.0
fixed_matched,54,0.0,0.0
fixed_matched,55,0.0,0.0
fixed_matched,56,0.0,0.0
fixed_matched,57,0.0,0.0
fixed_matched,58,0.0,0.0
fixed_matched,59,0.0,0.0
fixed_matched,60,0.0,0.0
fixed_matched,61,0.0,0.0
fixed_matched,62,0.0,0.0
fixed_matched,63,0.0,0.0
fixed_matched,64,0.0,0.0
fixed_matched,65,0.0,0.0
fixed_matched,66,0.0,0.0
fixed_matched,67,0.0,0.0
fixed_matched,68,0.0,0.0
fixed_matched,69,0.0,0.0
fixed_matched,70,0.0,0.0
fixed_matched,71,0.0,0.0
fixed_full_support,0,0.0,0.0
fixed_full_support,1,0.0,0.0
fixed_full_support,2,0.0,0.0
fixed_full_support,3,0.00011824952317784282,0.0
fixed_full_support,4,0.00011824952317784282,0.0
fixed_full_support,5,0.0014182201523334195,0.0
fixed_full_support,6,0.0025085824759342244,0.0
fixed_full_support,7,0.0029133602524426885,0.007989355502258422
fixed_full_support,8,0.0019196239166220448,0.0
fixed_full_support,9,0.0015891978874669889,0.0
fixed_full_support,10,0.008582457263032665,0.0
fixed_full_support,11,0.01684681958007607,0.021011494288351407
fixed_full_support,12,0.01387714544820132,0.015393617964498705
fixed_full_support,13,0.009977326614397543,0.022134390846653057
fixed_full_support,14,0.012651812656368973,0.007054601096758668
fixed_full_support,15,0.015652030454831215,0.006432226700861064
fixed_full_support,16,0.024266354287863567,0.038168590854992565
fixed_full_support,17,0.025955533320201157,0.04149917660138503
fixed_full_support,18,0.023279891204328777,0.019076957016826334
fixed_full_support,19,0.027365899492280098,0.04861204132567315
fixed_full_support,20,0.026645471644226412,0.026792134148996064
fixed_full_support,21,0.021335702584309398,0.03086508432227896
fixed_full_support,22,0.029713294015795148,0.012355809405483862
fixed_full_support,23,0.02648720046517526,0.02081450815126528
fixed_full_support,24,0.03219861074410297,0.06804125403808177
fixed_full_support,25,0.02999586528929797,0.009295420170331468
fixed_full_support,26,0.030452343531190376,0.04166710732581651
fixed_full_support,27,0.027749515447842307,0.010446434831430514
fixed_full_support,28,0.03120135684721301,0.040894460893289776
fixed_full_support,29,0.04907100768223567,0.05845480785996859
fixed_full_support,30,0.039523340623877606,0.06359561800267863
fixed_full_support,31,0.037471190287682976,0.04434718159523964
fixed_full_support,32,0.03601458269630029,0.04156423727075331
fixed_full_support,33,0.03099305477205243,0.03749702924548662
fixed_full_support,34,0.04408220132299292,0.04839622620549823
fixed_full_support,35,0.03579196069530428,0.06408441897951891
fixed_full_support,36,0.025107243819967217,0.01305693726856573
fixed_full_support,37,0.02695003045682032,0.03165571657383382
fixed_full_support,38,0.017665395025448415,0.02159896893912681
fixed_full_support,39,0.030449657900877353,0.0126451610956807
fixed_full_support,40,0.023119285971418213,0.005166281684484638
fixed_full_support,41,0.008909041272080389,0.006398965973733492
fixed_full_support,42,0.015017493398098674,0.005885240300537463
fixed_full_support,43,0.00721172174395745,0.014622977874466219
fixed_full_support,44,0.008527269609108438,0.015776229789434448
fixed_full_support,45,0.015435249072750476,0.00424586433499067
fixed_full_support,46,0.01117647496983258,0.003757666596155812
fixed_full_support,47,0.007512148245193344,0.002356918232986503
fixed_full_support,48,0.006858828912539089,0.0
fixed_full_support,49,0.007172932972224841,0.0007528354999682824
fixed_full_support,50,0.01062560450912758,0.001984173158650357
fixed_full_support,51,0.009400049014240236,0.003783649263525797
fixed_full_support,52,0.006541962606046813,0.0
fixed_full_support,53,0.005268104263799451,0.0
fixed_full_support,54,0.0033192592244937844,0.0002480216448312946
fixed_full_support,55,0.009418343706080013,0.0004960432896625892
fixed_full_support,56,0.006590506101026245,0.0
fixed_full_support,57,0.0025574509943936167,0.0011200191265716482
fixed_full_support,58,0.005307761001577741,0.0046040873287022405
fixed_full_support,59,0.0026154856183289517,0.0011200191265716482
fixed_full_support,60,0.0014270076330181968,0.0
fixed_full_support,61,0.003633894119653175,0.0
fixed_full_support,62,0.0005779061681019067,0.0
fixed_full_support,63,0.0014690139573820642,0.0
fixed_full_support,64,0.001692179028983976,0.0022400382531432964
fixed_full_support,65,2.311465694094353e-05,0.0
fixed_full_support,66,0.0001264009332931191,0.0
fixed_full_support,67,0.0005257303908599159,0.0
fixed_full_support,68,0.0,0.0
fixed_full_support,69,0.0,0.0
fixed_full_support,70,0.0,0.0
fixed_full_support,71,0.0,0.0
temporal_scaffold,0,0.0,0.0
temporal_scaffold,1,0.0,0.0
temporal_scaffold,2,0.0,0.0
temporal_scaffold,3,0.0,0.0
temporal_scaffold,4,0.0,0.0
temporal_scaffold,5,0.0,0.0
temporal_scaffold,6,0.0,0.0
temporal_scaffold,7,0.0,0.0
temporal_scaffold,8,0.0,0.0
temporal_scaffold,9,0.0,0.0
temporal_scaffold,10,0.0,0.0
temporal_scaffold,11,0.11766092501840614,0.03991891009533998
temporal_scaffold,12,0.11766092501840614,0.07397810043517421
temporal_scaffold,13,0.0,0.0
temporal_scaffold,14,0.0,0.0
temporal_scaffold,15,0.0,0.0
temporal_scaffold,16,0.0,0.0
temporal_scaffold,17,0.11766092501840614,0.05173649405942257
temporal_scaffold,18,0.0,0.0
temporal_scaffold,19,0.0,0.0
temporal_scaffold,20,0.0,0.0
temporal_scaffold,21,0.09099891751271087,0.027390642109116996
temporal_scaffold,22,0.09099891751271087,0.1205749106540323
temporal_scaffold,23,0.0,0.0
temporal_scaffold,24,0.0,0.0
temporal_scaffold,25,0.0,0.0
temporal_scaffold,26,0.0,0.0
temporal_scaffold,27,0.09099891751271087,0.012950588028486395
temporal_scaffold,28,0.0,0.0
temporal_scaffold,29,0.0,0.0
temporal_scaffold,30,0.0,0.0
temporal_scaffold,31,0.12467349080221632,0.1357192130602816
temporal_scaffold,32,0.12467349080221632,0.47250624658722146
temporal_scaffold,33,0.0,0.0
temporal_scaffold,34,0.0,0.0
temporal_scaffold,35,0.0,0.0
temporal_scaffold,36,0.0,0.0
temporal_scaffold,37,0.12467349080221632,0.06522489497092449
temporal_scaffold,38,0.0,0.0
temporal_scaffold,39,0.0,0.0
temporal_scaffold,40,0.0,0.0
temporal_scaffold,41,0.0,0.0
temporal_scaffold,42,0.0,0.0
temporal_scaffold,43,0.0,0.0
temporal_scaffold,44,0.0,0.0
temporal_scaffold,45,0.0,0.0
temporal_scaffold,46,0.0,0.0
temporal_scaffold,47,0.0,0.0
temporal_scaffold,48,0.0,0.0
temporal_scaffold,49,0.0,0.0
temporal_scaffold,50,0.0,0.0
temporal_scaffold,51,0.0,0.0
temporal_scaffold,52,0.0,0.0
temporal_scaffold,53,0.0,0.0
temporal_scaffold,54,0.0,0.0
temporal_scaffold,55,0.0,0.0
temporal_scaffold,56,0.0,0.0
temporal_scaffold,57,0.0,0.0
temporal_scaffold,58,0.0,0.0
temporal_scaffold,59,0.0,0.0
temporal_scaffold,60,0.0,0.0
temporal_scaffold,61,0.0,0.0
temporal_scaffold,62,0.0,0.0
temporal_scaffold,63,0.0,0.0
temporal_scaffold,64,0.0,0.0
temporal_scaffold,65,0.0,0.0
temporal_scaffold,66,0.0,0.0
temporal_scaffold,67,0.0,0.0
temporal_scaffold,68,0.0,0.0
temporal_scaffold,69,0.0,0.0
temporal_scaffold,70,0.0,0.0
temporal_scaffold,71,0.0,0.0
w_and_d,0,0.0,0.0
w_and_d,1,0.0,0.0
w_and_d,2,0.0,0.0
w_and_d,3,0.0,0.0
w_and_d,4,0.0,0.0
w_and_d,5,0.005704161065551542,0.0
w_and_d,6,0.01786666943580646,0.0429918507361037
