order_id,condition,seed,operation,position,balanced_accuracy,output_current_support,output_activity,signed_current_class_gap,realized_arrival_mass
cyclic_1,fixed_full_support,19,XOR,2,0.5992987751960754,1.0,0.78125,0.7735465168952942,0.21627067609409045
cyclic_1,fixed_full_support,7,NAND,0,0.5,0.75,0.0,0.0,0.08304205860865502
cyclic_1,fixed_full_support,7,NOR,1,0.6356589198112488,1.0,0.8125,10.796643376350403,0.5182130708463282
cyclic_1,fixed_full_support,7,XOR,2,0.8314176201820374,1.0,0.625,2.5108623802661896,0.34332159627151965
cyclic_1,fixed_full_support,73,NAND,0,0.5,1.0,0.0625,0.8360849022865295,0.25376253575252966
cyclic_1,fixed_full_support,73,NOR,1,0.7035714387893677,1.0,0.84375,8.680835723876953,0.41818888458017484
cyclic_1,fixed_full_support,73,XOR,2,0.638671875,1.0,0.40625,0.5381228178739548,0.23209121296035518
cyclic_1,fixed_matched,19,NAND,0,0.8332815766334534,1.0,0.984375,15.4819016456604,0.6910536887318991
cyclic_1,fixed_matched,19,NOR,1,0.5,1.0,0.375,4.006235837936401,0.11720140576720225
cyclic_1,fixed_matched,19,XOR,2,0.5,0.0,0.0,0.0,0.0
cyclic_1,fixed_matched,7,NAND,0,0.7985525131225586,1.0,0.96875,15.557107210159302,0.7506060326748516
cyclic_1,fixed_matched,7,NOR,1,0.5,0.984375,0.328125,-0.5773634910583496,0.11391786615701693
cyclic_1,fixed_matched,7,XOR,2,0.5,0.0,0.0,0.0,0.0
cyclic_1,fixed_matched,73,NAND,0,0.8022986650466919,1.0,0.984375,15.224949359893799,0.693900159113581
cyclic_1,fixed_matched,73,NOR,1,0.5,0.96875,0.234375,-2.9468321800231934,0.09074808316501229
cyclic_1,fixed_matched,73,XOR,2,0.5,0.0,0.0,0.0,0.0
cyclic_1,scalar,19,NAND,0,0.7465169429779053,1.0,0.78125,7.36060893535614,1.0
cyclic_1,scalar,19,NOR,1,0.5244755148887634,0.90625,0.03125,0.30598869919776917,0.0
cyclic_1,scalar,19,XOR,2,0.5,0.0,0.0,0.0,0.0
cyclic_1,scalar,7,NAND,0,0.9108526706695557,1.0,0.859375,10.894095182418823,0.9012855309763306
cyclic_1,scalar,7,NOR,1,0.5,0.0,0.0,0.0,0.0
cyclic_1,scalar,7,XOR,2,0.5,0.0,0.0,0.0,0.0
