order_id,condition,seed,query_ops,worst_balanced_accuracy,exact_trial_accuracy,pooled_accuracy,min_output_current_support,min_output_activity,min_realized_arrival_mass,hidden_spikes,synaptic_events,neuron_updates,delay_memory
cyclic_0,d0,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.10199999809265137,0.5086666941642761,0.0,0.0,0.0,18.618000030517578,485.0360164642334,2080,400
cyclic_0,d0,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.07599999755620956,0.4986666738986969,0.0,0.0,0.0,16.493999481201172,483.7879886627197,2080,400
cyclic_0,d0,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.07400000095367432,0.49933332204818726,0.0,0.0,0.0,17.219999313354492,480.63998794555664,2080,400
cyclic_0,fixed_full_support,19,"[""XOR"", ""NAND"", ""NOR""]",0.48750078678131104,0.42800000309944153,0.7900000214576721,1.0,0.46875,0.14019666794924607,23.440000534057617,494.6800174713135,2080,400
cyclic_0,fixed_full_support,7,"[""XOR"", ""NAND"", ""NOR""]",0.6342592239379883,0.5040000081062317,0.7766666412353516,0.984375,0.625,0.1774687942878354,16.173999786376953,483.1479892730713,2080,400
cyclic_0,fixed_full_support,73,"[""XOR"", ""NAND"", ""NOR""]",0.48284173011779785,0.37599998712539673,0.7526666522026062,1.0,0.109375,0.12959009209602748,22.52400016784668,491.247989654541,2080,400
cyclic_0,fixed_matched,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.17399999499320984,0.6566666960716248,0.0,0.0,0.0,11.395999908447266,470.5920162200928,2080,400
cyclic_0,fixed_matched,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.18799999356269836,0.6506666541099548,0.0,0.0,0.0,9.534000396728516,469.8679904937744,2080,400
cyclic_0,fixed_matched,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.32199999690055847,0.7233333587646484,0.0,0.0,0.0,12.321999549865723,470.8439884185791,2080,400
cyclic_0,scalar,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.3919999897480011,0.7233333587646484,0.0,0.0,0.0,12.930000305175781,473.6600170135498,2080,2
cyclic_0,scalar,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.15000000596046448,0.6520000100135803,0.0,0.0,0.0,16.166000366210938,483.13199043273926,2080,2
cyclic_0,scalar,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.257999986410141,0.6853333115577698,0.0,0.0,0.0,14.142000198364258,474.4839897155762,2080,2
cyclic_0,w_and_d,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.5460000038146973,0.8486666679382324,0.65625,0.21875,0.06993973534413345,17.423999786376953,482.64801597595215,2080,400
cyclic_0,w_and_d,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.5860000252723694,0.8539999723434448,0.734375,0.4375,0.10883832185650127,21.166000366210938,493.13199043273926,2080,400
