condition,n,primary_min_operation_position_balanced_mean,primary_min_operation_position_balanced_sd,mean_operation_position_balanced_mean,mean_operation_position_balanced_sd,mean_exact_trial_accuracy_mean,mean_exact_trial_accuracy_sd,worst_order_balanced_accuracy_mean,worst_order_balanced_accuracy_sd,min_output_current_support_mean,min_output_current_support_sd,mean_synaptic_events_mean,mean_synaptic_events_sd
d0,3,0.5,0.0,0.5,0.0,0.09355555557542378,0.006475023616945191,0.5,0.0,0.0,0.0,477.261775970459,3.1278689383760088
scalar,3,0.5,0.0,0.6130176650153265,0.00849027437774151,0.20311110880639818,0.02977197337757761,0.5,0.0,0.0,0.0,472.719998465644,1.3728510605981323
fixed_matched,3,0.5,0.0,0.6276817078943606,0.01581773278069838,0.19155555301242408,0.027755548425259062,0.5,0.0,0.0,0.0,476.82044304741754,1.3852600480485564
fixed_full_support,3,0.48928101857503253,0.009584816501249588,0.65592078588627,0.020298933530727117,0.326000001695421,0.038924430736034396,0.48928101857503253,0.009584816501249588,0.9166666666666666,0.14433756729740646,482.7697764502632,1.4798683657952951
w_and_d,3,0.5,0.0,0.7336268910655269,0.02951532527077777,0.4106666652692689,0.0622396738791775,0.5,0.0,0.0,0.0,488.1364430321587,3.392227538471345
