cell,hidden_size,seed,final_category,checkpoint,A,B,pattern,target_class,logit,prediction,classification_correct,output_class0_spikes,output_class1_spikes,total_output_spikes,interface_status,valid_one_target_spike,target_time,target_time_correct_spike,target_time_wrong_spike,correct_spike_times,wrong_spike_times,target_time_correct_voltage,target_time_wrong_voltage,correct_threshold_margin,wrong_suppression_margin,class_voltage_separation,correct_peak_time,wrong_peak_time,correct_peak_voltage,wrong_peak_voltage,correct_peak_threshold_margin,wrong_global_suppression_margin,target_time_correct_current,target_time_wrong_current,hidden_spikes_total,active_hidden_neurons,causal_hidden_spikes_at_t_minus_1
h4_seed509,4,509,silent,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03170938044786453,-0.10703592747449875,0.0017093804478645336,0.13703592747449875,0.13874530792236328,11,0,0.03170938044786453,0.0,0.0017093804478645336,0.03,0.3332127332687378,-1.1247692108154297,2.0,2,2.0
h4_seed509,4,509,silent,best,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,best,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,last,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03566993027925491,-0.11830750107765198,0.0056699302792549144,0.14830750107765198,0.1539774313569069,11,0,0.03566993027925491,0.0,0.0056699302792549144,0.03,0.37483152747154236,-1.2432146072387695,1.0,1,1.0
h4_seed509,4,509,silent,last,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,last,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.032156117260456085,-0.1551540046930313,0.0021561172604560863,0.1851540046930313,0.1873101219534874,11,0,0.032156117260456085,0.0,0.0021561172604560863,0.03,0.33790719509124756,-1.6304099559783936,1.0,1,1.0
h8_seed107,8,107,silent,best,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.030084870755672455,0.001721084350720048,8.487075567245594e-05,0.02827891564927995,0.028363786404952407,11,11,0.030084870755672455,0.001721084350720048,8.487075567245594e-05,0.02827891564927995,0.31614184379577637,0.018085727468132973,1.0,1,1.0
h8_seed107,8,107,silent,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.030784528702497482,-0.03323768079280853,0.0007845287024974834,0.06323768079280853,0.06402220949530602,11,0,0.030784528702497482,0.0,0.0007845287024974834,0.03,0.3234940767288208,-0.34927260875701904,2.0,2,2.0
h8_seed107,8,107,silent,best,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03420024737715721,-0.039822567254304886,0.004200247377157212,0.06982256725430488,0.0740228146314621,11,0,0.03420024737715721,0.0,0.004200247377157212,0.03,0.3593875765800476,-0.41846880316734314,1.0,1,1.0
h8_seed107,8,107,silent,best,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h8_seed107,8,107,silent,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.1509149819612503,-0.07175806164741516,0.1209149819612503,0.10175806164741516,0.22267304360866547,11,0,0.1509149819612503,0.0,0.1209149819612503,0.03,1.5858649015426636,-0.7540576457977295,2.0,2,2.0
h8_seed107,8,107,silent,last,1,0,10,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.02999948151409626,-0.0626973882317543,-5.18485903738819e-07,0.0926973882317543,0.09269686974585056,11,0,0.02999948151409626,0.0,-5.18485903738819e-07,0.03,0.31524455547332764,-0.658845067024231,2.0,2,2.0
h8_seed107,8,107,silent,last,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.04049469158053398,-0.06329747289419174,0.010494691580533982,0.09329747289419174,0.10379216447472572,11,0,0.04049469158053398,0.0,0.010494691580533982,0.03,0.4255317151546478,-0.6651509404182434,1.0,1,1.0
h8_seed107,8,107,silent,last,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.09151521325111389,-0.15810196101665497,0.06151521325111389,0.18810196101665497,0.24961717426776886,11,0,0.09151521325111389,0.0,0.06151521325111389,0.03,0.9616723656654358,-1.6613880395889282,1.0,1,1.0
h8_seed211,8,211,silent,best,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h8_seed211,8,211,silent,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.10277104377746582,-0.05120726302266121,0.07277104377746582,0.08120726302266121,0.15397830680012703,11,0,0.10277104377746582,0.0,0.07277104377746582,0.03,1.079952359199524,-0.5381029844284058,3.0,3,3.0
h8_seed211,8,211,silent,best,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h8_seed211,8,211,silent,best,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.012352503836154938,-0.009277133271098137,-0.01764749616384506,0.039277133271098136,0.021629637107253075,11,0,0.012352503836154938,0.0,-0.01764749616384506,0.03,0.12980422377586365,-0.0974872037768364,1.0,1,1.0
h8_seed211,8,211,silent,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.15888908505439758,-0.07206663489341736,0.12888908505439758,0.10206663489341736,0.23095571994781494,11,0,0.15888908505439758,0.0,0.12888908505439758,0.03,1.6696594953536987,-0.7573001980781555,2.0,2,2.0
h8_seed211,8,211,silent,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.19213037192821503,-0.2281869500875473,0.16213037192821503,0.25818695008754733,0.42031732201576233,11,10,0.19213037192821503,0.006774024106562138,0.16213037192821503,0.02322597589343786,2.316390037536621,-2.4622740745544434,4.0,4,3.0
h8_seed211,8,211,silent,last,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h8_seed211,8,211,silent,last,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.09676294773817062,-0.12794259190559387,0.06676294773817062,0.15794259190559387,0.2247055396437645,11,0,0.09676294773817062,0.0,0.06676294773817062,0.03,1.016817331314087,-1.3444633483886719,2.0,2,2.0
h8_seed509,8,509,successful,best,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.03865557536482811,-0.10971660912036896,0.00865557536482811,0.13971660912036896,0.14837218448519707,11,0,0.03865557536482811,0.0,0.00865557536482811,0.03,0.4062056839466095,-1.152938723564148,3.0,3,3.0
h8_seed509,8,509,successful,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.056155845522880554,-0.05542575940489769,0.026155845522880555,0.08542575940489769,0.11158160492777824,11,0,0.056155845522880554,0.0,0.026155845522880555,0.03,0.590104341506958,-0.5824323296546936,1.0,1,1.0
h8_seed509,8,509,successful,best,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.0473705492913723,-0.1554819494485855,0.0173705492913723,0.1854819494485855,0.2028524987399578,11,0,0.0473705492913723,0.0,0.0173705492913723,0.03,0.4977855086326599,-1.633856177330017,2.0,2,2.0
