auxiliary_source,auxiliary_weight,complete,condition,condition_role,convergence_step,direct_delay_supervision,direction_coordinate_initial,direction_coordinate_target,final_auxiliary_loss,final_current_centroid,final_delay_steps,final_hard_loss,final_hard_spike_arrival,final_hard_spike_count,final_hard_spike_w1_steps,final_nominal_delay_error_steps,final_pre_reset_centroid,final_total_loss,final_total_raw_gradient,hard_weight,initial_auxiliary_raw_gradient,initial_current_centroid,initial_delay_steps,initial_gradient_conflict,initial_hard_raw_gradient,initial_hard_spike_arrival,initial_hard_spike_count,initial_hard_spike_w1_steps,initial_pre_reset_centroid,initial_raw,initial_total_raw_gradient,learning_rate,maximum_hard_spike_count_during_training,minimum_hard_spike_count_during_training,optimizer_steps,protocol_id,recovered_exact_hard_arrival,stochastic_seed,target_arrival_step,target_current_centroid,target_hard_spike_arrival,target_nominal_delay_steps,target_pre_reset_centroid,test_split_opened
synaptic_current,1.0,True,current_soft_only,bridge_positive_control,102,False,3.1438896656036377,10.0,0.0024349146988242865,9.930215835571289,6.930215835571289,0.0,10.0,1.0,0.0,0.06978416442871094,9.93436050415039,0.0024349146988242865,-0.06467103213071823,0.0,-0.9687795639038086,3.1438896656036377,0.1438896805047989,False,-0.022117862477898598,3.0,1.0,7.0,3.0,-4.0,-0.9687795639038086,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,10,10.0,10.0,7.0,10.0,False
synaptic_current,1.0,True,current_soft_only,bridge_positive_control,91,False,3.9536232948303223,10.0,0.0030492995865643024,9.921906471252441,6.921906471252441,0.0,10.0,1.0,0.0,0.0780935287475586,9.9270601272583,0.0030492995865643024,-0.07284625619649887,0.0,-5.078646659851074,3.9536232948303223,0.953623354434967,False,-0.05902388319373131,4.0,1.0,6.0,3.955491065979004,-2.0,-5.078646659851074,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,10,10.0,10.0,7.0,10.0,False
synaptic_current,1.0,True,current_soft_only,bridge_positive_control,37,False,7.0,10.0,2.6197130864602514e-07,9.999276161193848,6.999276161193848,0.0,10.0,1.0,0.0,0.0007238388061523438,9.999277114868164,2.6197130864602514e-07,-0.0006337518570944667,0.0,-6.0,7.0,4.0,False,-0.16777074337005615,7.0,1.0,3.0,7.0,0.0,-6.0,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,10,10.0,10.0,7.0,10.0,False
synaptic_current,1.0,True,current_soft_only,bridge_positive_control,0,False,10.04637622833252,10.0,1.8189894035458565e-12,10.000001907348633,7.000002384185791,0.0,10.0,1.0,0.0,2.384185791015625e-06,10.0,1.8189894035458565e-12,1.6689266431058059e-06,0.0,0.038953665643930435,10.04637622833252,7.0463762283325195,False,0.0,10.0,1.0,0.0,10.0,2.0,0.038953665643930435,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,10,10.0,10.0,7.0,10.0,False
synaptic_current,1.0,True,current_soft_only,bridge_positive_control,26,False,10.856110572814941,10.0,1.229636836796999e-09,10.000049591064453,7.000049114227295,0.0,10.0,1.0,0.0,4.9114227294921875e-05,10.0,1.229636836796999e-09,4.339035149314441e-05,0.0,0.12097002565860748,10.856110572814941,7.856110095977783,False,0.006925386842340231,11.0,1.0,1.0,10.872686386108398,4.0,0.12097002565860748,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,10,10.0,10.0,7.0,10.0,False
none,0.0,True,hard_filtered_only,negative_control,24,False,3.0,4.0,0.0,3.8782167434692383,0.8782167434692383,0.0,4.0,1.0,0.0,0.12178325653076172,3.8903045654296875,0.0,0.0,1.0,0.0,3.1438896656036377,0.1438896805047989,False,-0.006932354997843504,3.0,1.0,1.0,3.0,-4.0,-0.006932354997843504,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,4,4.0,4.0,1.0,4.0,False
none,0.0,True,hard_filtered_only,negative_control,0,False,4.0,4.0,0.0,3.9536232948303223,0.953623354434967,0.0,4.0,1.0,0.0,0.04637664556503296,3.955491065979004,0.0,0.0,1.0,0.0,3.9536232948303223,0.953623354434967,False,0.0,4.0,1.0,0.0,3.955491065979004,-2.0,0.0,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,4,4.0,4.0,1.0,4.0,False
none,0.0,True,hard_filtered_only,negative_control,,False,7.0,4.0,0.0,10.867314338684082,7.86731481552124,0.22824548184871674,11.0,1.0,7.0,6.86731481552124,10.881537437438965,0.22824548184871674,-0.009697606787085533,1.0,0.0,7.0,4.0,False,-0.16623477637767792,7.0,1.0,3.0,7.0,0.0,-0.16623477637767792,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,False,,4,4.0,4.0,1.0,4.0,False
none,0.0,True,hard_filtered_only,negative_control,,False,10.0,4.0,0.0,10.942062377929688,7.9420623779296875,0.22824548184871674,11.0,1.0,7.0,6.9420623779296875,10.94494915008545,0.22824548184871674,-0.0036506999749690294,1.0,0.0,10.04637622833252,7.0463762283325195,False,-0.10218752175569534,10.0,1.0,6.0,10.0,2.0,-0.10218752175569534,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,False,,4,4.0,4.0,1.0,4.0,False
none,0.0,True,hard_filtered_only,negative_control,,False,11.0,4.0,0.0,10.995038032531738,7.995038032531738,0.22824548184871674,11.0,1.0,7.0,6.995038032531738,10.995059967041016,0.22824548184871674,-0.0002827279095072299,1.0,0.0,10.856110572814941,7.856110095977783,False,-0.010760667733848095,11.0,1.0,7.0,10.872686386108398,4.0,-0.010760667733848095,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,False,,4,4.0,4.0,1.0,4.0,False
none,0.0,True,hard_filtered_only,negative_control,73,False,3.0,8.0,0.0,8.46889877319336,5.468898296356201,0.0,8.0,1.0,0.0,0.46889829635620117,7.999999523162842,0.0,0.0,1.0,0.0,3.1438896656036377,0.1438896805047989,False,-0.019849730655550957,3.0,1.0,5.0,3.0,-4.0,-0.019849730655550957,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,8,8.0,8.0,5.0,8.0,False
none,0.0,True,hard_filtered_only,negative_control,49,False,4.0,8.0,0.0,8.304403305053711,5.304402828216553,0.0,8.0,1.0,0.0,0.30440282821655273,8.0,0.0,0.0,1.0,0.0,3.9536232948303223,0.953623354434967,False,-0.05020797252655029,4.0,1.0,4.0,3.955491065979004,-2.0,-0.05020797252655029,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,8,8.0,8.0,5.0,8.0,False
none,0.0,True,hard_filtered_only,negative_control,5,False,7.0,8.0,0.0,8.296792030334473,5.296792030334473,0.0,8.0,1.0,0.0,0.29679203033447266,8.0,0.0,0.0,1.0,0.0,7.0,4.0,False,-0.07499024271965027,7.0,1.0,1.0,7.0,0.0,-0.07499024271965027,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,True,,8,8.0,8.0,5.0,8.0,False
none,0.0,True,hard_filtered_only,negative_control,,False,10.0,8.0,0.0,10.911276817321777,7.9112772941589355,0.16055676341056824,11.0,1.0,3.0,2.9112772941589355,10.91787052154541,0.16055676341056824,-0.0016336514381691813,1.0,0.0,10.04637622833252,7.0463762283325195,False,-0.05750516802072525,10.0,1.0,2.0,10.0,2.0,-0.05750516802072525,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,False,,8,8.0,8.0,5.0,8.0,False
none,0.0,True,hard_filtered_only,negative_control,,False,11.0,8.0,0.0,10.994858741760254,7.994859218597412,0.16055676341056824,11.0,1.0,3.0,2.994859218597412,10.994882583618164,0.16055676341056824,-7.765118789393455e-05,1.0,0.0,10.856110572814941,7.856110095977783,False,-0.0030272917356342077,11.0,1.0,3.0,10.872686386108398,4.0,-0.0030272917356342077,0.05,1.0,1.0,200,delay_hard_output_soft_credit_level0d_v1,False,,8,8.0,8.0,5.0,8.0,False
