epoch,train_loss,train_acc,val_loss,val_acc,mean_hidden_spikes,time_s
1,0.7274715714156628,0.26401367224752903,0.7221450507640839,0.24962957948446274,2.568763494491577,1.8199975490570068
2,0.7159828692674637,0.30039062537252903,0.7130979895591736,0.3049232214689255,2.6293776631355286,1.5384693145751953
3,0.7057579979300499,0.33383789099752903,0.7020141184329987,0.3163725733757019,2.403286635875702,1.9905273914337158
4,0.6976923681795597,0.35214843787252903,0.6922971159219742,0.34900323301553726,2.462284505367279,1.6900062561035156
5,0.687807708978653,0.5817382819950581,0.6857512146234512,0.6170528084039688,2.524043619632721,1.8006162643432617
6,0.679697435349226,0.6309570334851742,0.6734620779752731,0.6476629823446274,2.5361328125,1.848402738571167
7,0.6709478721022606,0.72021484375,0.6679139584302902,0.7585870176553726,2.5893049836158752,1.8689615726470947
8,0.6636764630675316,0.7442871108651161,0.6555473804473877,0.7655239701271057,2.720299005508423,2.0183777809143066
9,0.6555779613554478,0.7451660148799419,0.6490523517131805,0.7666015625,2.7399649620056152,3.741266965866089
10,0.6456092670559883,0.7473632805049419,0.6368600726127625,0.7666015625,3.0880253314971924,2.9229543209075928
11,0.6362664550542831,0.746337890625,0.6307285875082016,0.7666015625,3.165611505508423,2.1503989696502686
12,0.6266732886433601,0.7473632805049419,0.6166582107543945,0.7666015625,3.4900659918785095,1.7497882843017578
13,0.618914183229208,0.746337890625,0.6068986058235168,0.7666015625,3.6964574456214905,1.7599806785583496
14,0.608920581638813,0.7488281242549419,0.5994334816932678,0.7666015625,3.782563328742981,2.238640308380127
15,0.6004598811268806,0.7461914084851742,0.5910610854625702,0.7666015625,3.926185369491577,3.608330488204956
16,0.5889325886964798,0.7483886741101742,0.5760118216276169,0.7666015625,4.339035511016846,2.5789074897766113
17,0.5797284096479416,0.7467773444950581,0.5726552456617355,0.7666015625,4.428306818008423,1.9428455829620361
18,0.5725964121520519,0.7450195327401161,0.5647873282432556,0.7666015625,4.6036165952682495,1.5443713665008545
19,0.5599678754806519,0.7473632805049419,0.5637245625257492,0.7666015625,4.825228929519653,1.614837646484375
20,0.5530632399022579,0.7472167983651161,0.5462002158164978,0.7666015625,5.110587239265442,1.4829201698303223
21,0.5467877388000488,0.7470703125,0.5265785306692123,0.7666015625,5.507442116737366,1.8657546043395996
22,0.533403106033802,0.7460449226200581,0.5260004103183746,0.7666015625,5.728717684745789,1.6161940097808838
23,0.5272668860852718,0.74560546875,0.518771767616272,0.7666015625,5.829943418502808,1.9855914115905762
24,0.5272636488080025,0.744873046875,0.5153423100709915,0.7666015625,6.1611328125,2.2174553871154785
25,0.5133192017674446,0.7470703125,0.5093062072992325,0.7666015625,6.390658617019653,2.07303524017334
26,0.503943333402276,0.7483886741101742,0.4897322654724121,0.7666015625,6.542564630508423,1.6191325187683105
27,0.5009511988610029,0.7469238303601742,0.49054402112960815,0.7666015625,6.888570785522461,1.9786639213562012
28,0.48884411714971066,0.747802734375,0.4774866998195648,0.7666015625,7.200397372245789,1.5889432430267334
29,0.4841555655002594,0.746337890625,0.4702220633625984,0.7666015625,7.277310013771057,2.0222673416137695
30,0.47538552060723305,0.7475097663700581,0.46668390184640884,0.7666015625,7.892780184745789,1.7573423385620117
31,0.4646264612674713,0.747802734375,0.4709523692727089,0.7666015625,7.835668087005615,2.2997968196868896
32,0.4622496981173754,0.746337890625,0.4445101022720337,0.7666015625,8.377896070480347,2.636728048324585
33,0.4514331500977278,0.746337890625,0.4415884464979172,0.7666015625,8.792699337005615,1.5676031112670898
34,0.44549674913287163,0.7469238303601742,0.44169100373983383,0.7666015625,8.784752130508423,1.6093027591705322
35,0.4407284464687109,0.7464843764901161,0.43503624200820923,0.7666015625,9.280239820480347,1.8746719360351562
36,0.43199972808361053,0.7482421882450581,0.43223243951797485,0.7666015625,9.426084280014038,1.5384249687194824
37,0.4325913656502962,0.7469238303601742,0.4340062290430069,0.7666015625,9.623518228530884,2.0650572776794434
38,0.4288233183324337,0.7475097663700581,0.42286717891693115,0.7666015625,10.231175899505615,1.6122148036956787
39,0.4265943020582199,0.7473632805049419,0.4131774827837944,0.7666015625,10.567147016525269,1.8456361293792725
40,0.4164341576397419,0.7472167983651161,0.4058816507458687,0.7666015625,10.674535274505615,1.7888131141662598
41,0.41760461032390594,0.7467773444950581,0.3975817710161209,0.7666015625,11.172346353530884,1.8184444904327393
42,0.40995811857283115,0.7475097663700581,0.39103730767965317,0.7666015625,11.860183238983154,1.729264497756958
43,0.40471397899091244,0.7466308586299419,0.39361366629600525,0.7666015625,12.019699573516846,1.6233928203582764
44,0.4035355132073164,0.7472167983651161,0.3940282389521599,0.7666015625,12.017611742019653,2.1007907390594482
45,0.39920755848288536,0.7466308586299419,0.3845144510269165,0.7666015625,12.215550899505615,1.8630177974700928
46,0.3981670420616865,0.7466308586299419,0.3838889077305794,0.7666015625,12.470299005508423,1.7649669647216797
47,0.3881418127566576,0.7467773444950581,0.3863861784338951,0.7666015625,12.949892282485962,1.8018293380737305
48,0.38202117197215557,0.7473632805049419,0.36820796877145767,0.7666015625,13.723868608474731,1.8116357326507568
49,0.3757172282785177,0.7469238303601742,0.37453217059373856,0.7666015625,13.766938209533691,1.7745749950408936
50,0.37665423937141895,0.7482421882450581,0.3633793443441391,0.7666015625,14.154162168502808,1.5773963928222656
51,0.3677099794149399,0.747802734375,0.3485248386859894,0.7666015625,14.428609848022461,1.5562872886657715
52,0.3713512420654297,0.7470703125,0.365443654358387,0.7666015625,14.60893726348877,1.7029016017913818
53,0.36685635708272457,0.7472167983651161,0.34499427676200867,0.7666015625,15.356175899505615,1.5225043296813965
54,0.3608410470187664,0.7467773444950581,0.35288967192173004,0.7666015625,15.666217565536499,1.6572597026824951
55,0.35730698145926,0.7475097663700581,0.3450179770588875,0.7666015625,15.987910747528076,1.5581591129302979
56,0.3563209865242243,0.7479492202401161,0.33759016543626785,0.7666015625,15.826037168502808,2.399165153503418
57,0.3510490842163563,0.7464843764901161,0.3513832464814186,0.7666015625,16.528151988983154,2.7661292552948
58,0.34134067967534065,0.7488281242549419,0.33880364894866943,0.7666015625,16.788052082061768,2.4388649463653564
59,0.3450170252472162,0.7466308586299419,0.33470019698143005,0.7666015625,17.328697681427002,1.5339083671569824
60,0.34483432956039906,0.7476562522351742,0.334789514541626,0.7666015625,17.356512546539307,1.4650373458862305
61,0.3361224550753832,0.7473632805049419,0.3329935595393181,0.7666015625,17.492760181427002,1.522515058517456
62,0.33419778384268284,0.7466308586299419,0.32347817718982697,0.7666015625,17.831458568572998,1.5331933498382568
63,0.33030193485319614,0.7460449226200581,0.324295349419117,0.7666015625,18.372238636016846,1.5677509307861328
64,0.33190473169088364,0.746337890625,0.31951094418764114,0.7666015625,18.003165245056152,1.6770222187042236
65,0.3264227267354727,0.7480957023799419,0.3120383396744728,0.7666015625,18.661301136016846,1.8898019790649414
66,0.32044634222984314,0.7473632805049419,0.30734220147132874,0.7666015625,18.944268703460693,1.7987351417541504
67,0.31610408797860146,0.7469238303601742,0.30949317663908005,0.7666015625,19.159752368927002,1.7202439308166504
68,0.316292192786932,0.7466308586299419,0.3025887534022331,0.7666015625,19.937297821044922,1.5989339351654053
69,0.31344810128211975,0.7464843764901161,0.2987420931458473,0.7666015625,20.119140625,1.520383596420288
70,0.3076579123735428,0.7483886741101742,0.30501624941825867,0.7666015625,20.194908618927002,1.5144248008728027
71,0.3082334101200104,0.7457519546151161,0.2956828474998474,0.7666015625,20.44834327697754,1.611520767211914
72,0.30461300909519196,0.7464843764901161,0.29341619461774826,0.7666015625,20.620352745056152,1.7480909824371338
73,0.3013165555894375,0.7482421882450581,0.28554096072912216,0.7666015625,21.029094696044922,1.6798582077026367
74,0.29410329181700945,0.7466308586299419,0.2868695929646492,0.7666015625,21.541924953460693,1.7220964431762695
75,0.29157756082713604,0.7476562522351742,0.28404081612825394,0.7666015625,21.23861789703369,1.701049566268921
76,0.29430204443633556,0.7460449226200581,0.28714118897914886,0.7666015625,21.401602745056152,1.6669893264770508
77,0.2856263620778918,0.7460449226200581,0.2732715532183647,0.7666015625,21.56088352203369,1.5778417587280273
78,0.28284923918545246,0.7470703125,0.2721797898411751,0.7666015625,22.188004970550537,1.5334157943725586
79,0.2827255539596081,0.7472167983651161,0.2643265053629875,0.7666015625,22.281452178955078,1.603989601135254
80,0.27737864572554827,0.7476562522351742,0.2636309452354908,0.7666015625,22.690496921539307,1.5590183734893799
81,0.27447408251464367,0.7464843764901161,0.2659333497285843,0.7666015625,22.73959445953369,1.8298373222351074
82,0.2766292653977871,0.747802734375,0.26813453435897827,0.7666015625,22.66157054901123,1.5937795639038086
83,0.2734836610034108,0.7466308586299419,0.2555849999189377,0.7666015625,23.411604404449463,1.679309368133545
84,0.2695965375751257,0.7466308586299419,0.2552085965871811,0.7666015625,23.645440578460693,1.5174100399017334
85,0.266952034085989,0.74853515625,0.26072683557868004,0.7666015625,23.483870029449463,1.8150608539581299
86,0.26666778698563576,0.7480957023799419,0.25315677747130394,0.7666015625,23.777916431427002,2.061185359954834
87,0.26308115664869547,0.7480957023799419,0.24883929640054703,0.7666015625,23.948410511016846,2.2393100261688232
88,0.2627136968076229,0.7469238303601742,0.24036969989538193,0.7666015625,24.54818820953369,1.5573525428771973
89,0.2534754332154989,0.7461914084851742,0.25050999596714973,0.7666015625,24.871160984039307,1.6685600280761719
90,0.2518017739057541,0.81396484375,0.22783198580145836,0.9359846413135529,24.765254497528076,1.7235949039459229
91,0.24295741971582174,0.9336914084851742,0.2455584518611431,0.9154768288135529,24.969254970550537,2.563467502593994
92,0.2470936570316553,0.9248046875,0.23068618774414062,0.9293507486581802,25.441574573516846,2.002464532852173
93,0.23796190973371267,0.9329101555049419,0.230754803866148,0.9221107214689255,25.860418796539307,1.6624133586883545
94,0.2433118000626564,0.9277832023799419,0.2303057722747326,0.9224137961864471,25.805293560028076,1.534850835800171
95,0.23625279497355223,0.934814453125,0.24142300337553024,0.9058795720338821,25.702721118927002,1.7668442726135254
96,0.2382712196558714,0.9298339858651161,0.2189996987581253,0.9412715435028076,26.588563919067383,1.801710605621338
97,0.23285555467009544,0.9342773444950581,0.22488068789243698,0.9268925040960312,26.589102745056152,1.4647974967956543
98,0.22960946522653103,0.9385742209851742,0.22017692402005196,0.9358162730932236,26.965954780578613,1.6894867420196533
99,0.23102376330643892,0.9333007819950581,0.22372105717658997,0.9289466589689255,27.10826349258423,1.5820956230163574
100,0.2265999112278223,0.938232421875,0.2248701974749565,0.9269935339689255,26.801454544067383,1.5740251541137695
101,0.22519911918789148,0.9388671889901161,0.21193280071020126,0.9398908913135529,27.676959991455078,1.594404697418213
102,0.22341293655335903,0.9395507834851742,0.20751115307211876,0.9436961263418198,27.78404474258423,1.845961332321167
103,0.21968640480190516,0.943115234375,0.20831822976469994,0.9459523111581802,27.949723720550537,1.7242066860198975
104,0.2169121066108346,0.945068359375,0.21014583855867386,0.9438981711864471,28.459556579589844,1.598806619644165
105,0.21477123722434044,0.9431640617549419,0.2027963437139988,0.9441002160310745,28.654229640960693,1.6577062606811523
106,0.21146428678184748,0.945556640625,0.20776695385575294,0.9395204782485962,28.529263019561768,1.9037137031555176
107,0.21155975572764874,0.9473144523799419,0.19131606444716454,0.9519127160310745,29.434401988983154,2.0179595947265625
