condition,seed,artifacts_complete,finite,loss_reduction,output_current_support,output_activity,hidden_emission_support_descriptive,signed_current_class_gap_descriptive,realized_arrival_mass,window_output_weight_grad_norm,window_total_delay_grad_norm,final_delay_movement,final_delay_saturation_fraction,worst_balanced_descriptive,per_window_balanced_descriptive,exact_trial_descriptive,output_silent_rate_descriptive,output_tie_rate_descriptive
fixed_full_support,1,True,True,window_class_balanced,"[1.0, 1.0, 1.0]","[0.3125, 0.8125, 0.890625]","[1.0, 0.953125, 0.71875]","[0.7079342529177666, 2.8821184635162354, 13.835962176322937]","[0.09745233285658642, 0.29993708861551577, 0.4312288855420416]","[0.035899627953767776, 0.5018292665481567, 0.36278069019317627]","[0.0, 0.0, 0.0]",0.0,0.0,0.7017820477485657,"[0.7017820477485657, 0.8149058818817139, 0.7432432174682617]",0.5080000162124634,0.33666667342185974,0.3540000021457672
temporal_scaffold,1,True,True,window_class_balanced,"[1.0, 0.6875, 1.0]","[1.0, 0.375, 0.734375]","[1.0, 0.6875, 1.0]","[1.7795286178588867, 7.531594514846802, 22.90167987346649]","[0.32582577815991304, 0.11829541323935597, 0.5558788086007309]","[0.13698475062847137, 0.21479496359825134, 0.1507614701986313]","[0.0, 0.0, 0.0]",0.0,0.5,0.5,"[0.5, 0.6790450811386108, 0.5]",0.2160000056028366,0.30666667222976685,0.30666667222976685
w_and_d,1,True,True,window_class_balanced,"[1.0, 1.0, 0.5]","[0.828125, 0.828125, 0.234375]","[0.984375, 0.484375, 0.0]","[12.060008764266968, 13.495664834976196, -0.03795981407165527]","[0.6111682054723534, 0.2000825737220106, 0.051083389534515376]","[0.20299823582172394, 0.1504344791173935, 0.1607367843389511]","[0.6329429596662521, 0.8376640677452087, 0.6051193326711655]",2.302722215652466,0.0,0.5,"[0.982758641242981, 0.8912466764450073, 0.5]",0.6039999723434448,0.37933334708213806,0.38866665959358215
fixed_full_support,42,True,True,window_class_balanced,"[0.9375, 1.0, 1.0]","[0.15625, 0.96875, 0.859375]","[1.0, 1.0, 1.0]","[-0.2013627290725708, 4.794950723648071, 20.161033391952515]","[0.09270278761233428, 0.23429319302850193, 0.4791280319215293]","[0.029467470943927765, 0.2173854112625122, 0.18968720734119415]","[0.0, 0.0, 0.0]",0.0,0.0,0.48653846979141235,"[0.48653846979141235, 0.8997527956962585, 0.7457627058029175]",0.37599998712539673,0.32866665720939636,0.36666667461395264
temporal_scaffold,42,True,True,window_class_balanced,"[1.0, 0.6875, 1.0]","[1.0, 0.1875, 0.75]","[1.0, 0.6875, 1.0]","[0.18367528915405273, 4.538309216499329, 24.029446840286255]","[0.2518538250927676, 0.09405553331156727, 0.6540906415956652]","[0.13123692572116852, 0.187284454703331, 0.15974463522434235]","[0.0, 0.0, 0.0]",0.0,0.5,0.5,"[0.5, 0.579365074634552, 0.5]",0.18199999630451202,0.3499999940395355,0.3499999940395355
w_and_d,42,True,True,window_class_balanced,"[1.0, 1.0, 0.765625]","[0.859375, 0.765625, 0.328125]","[1.0, 0.75, 0.0]","[11.896525740623474, 22.43977665901184, -0.06877613067626953]","[0.5191113549046092, 0.22442106743150808, 0.08385009688398162]","[0.14794504642486572, 0.13820981979370117, 0.1096358373761177]","[0.5482135117053986, 1.118653953075409, 0.6085558757185936]",2.301919937133789,0.0,0.5,"[0.9312499761581421, 0.8187830448150635, 0.5]",0.4740000069141388,0.35333332419395447,0.38066667318344116
