condition,T,surface_hidden_width,seed,output_window_len,delay_mean,delay_std,delay_min,delay_max,q0_delay_mean,q1_delay_mean,q1_minus_q0_delay_mean,q0_delay_over_window,q1_delay_over_window,q0_fraction_before_second_window,q1_fraction_reaching_second_window,window0_hidden_spikes,window1_hidden_spikes,window0_activity_fraction,window1_activity_fraction,worst_query_balanced_accuracy,exact_trial_accuracy,routing_selectivity_gap
shared_temporal_d0,30,4,307,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.5,0.3125,0.0625
shared_temporal_d0,30,4,613,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4375,0.0,0.375,0.0,0.5,0.375,0.125
shared_temporal_d0,30,8,307,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.5625,0.0,0.5,0.4375,0.25
shared_temporal_d0,30,8,613,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.875,0.0,0.625,0.0,0.5,0.4375,0.1875
shared_temporal_oracle,18,16,307,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.625,1.5,0.875,1.0,0.875,0.8125,0.4375
shared_temporal_oracle,18,16,613,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.5,0.6875,0.875,0.625,0.75,0.5625,0.25
shared_temporal_oracle,18,24,307,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.8125,1.0,1.0,0.625,1.0,1.0,0.5
shared_temporal_oracle,18,24,613,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.375,2.125,0.8125,0.9375,1.0,1.0,0.5
shared_temporal_oracle,18,4,307,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.5,0.125,0.5,0.125,0.5,0.5,0.25
shared_temporal_oracle,18,4,613,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.5,0.1875,0.5,0.1875,0.6875,0.5625,0.25
shared_temporal_oracle,18,8,307,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.4375,0.5,0.375,0.5,0.75,0.5625,0.3125
shared_temporal_oracle,18,8,613,4,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.4375,0.5625,0.5625,0.3125
shared_temporal_oracle,22,16,307,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,1.4375,1.625,0.875,0.9375,0.875,0.8125,0.4375
shared_temporal_oracle,22,16,613,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.8125,0.9375,0.75,0.8125,0.75,0.625,0.3125
shared_temporal_oracle,22,24,307,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,1.5,1.1875,1.0,0.75,1.0,1.0,0.5
shared_temporal_oracle,22,24,613,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.75,2.1875,0.5625,0.9375,1.0,1.0,0.5
shared_temporal_oracle,22,4,307,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.5,0.125,0.5,0.125,0.5,0.5,0.25
shared_temporal_oracle,22,4,613,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.5,0.1875,0.5,0.1875,0.6875,0.5625,0.25
shared_temporal_oracle,22,8,307,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.5,0.3125,0.25,0.3125,0.75,0.5625,0.3125
shared_temporal_oracle,22,8,613,6,3.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.5,0.3125,0.5,0.3125,0.5625,0.5625,0.25
shared_temporal_oracle,26,16,307,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,1.5,1.625,0.875,1.0,0.875,0.8125,0.4375
shared_temporal_oracle,26,16,613,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,1.0,0.8125,0.75,0.75,0.75,0.5625,0.25
shared_temporal_oracle,26,24,307,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,2.0,1.125,1.0,0.75,1.0,1.0,0.5
shared_temporal_oracle,26,24,613,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.9375,2.3125,0.75,1.0,1.0,1.0,0.5
shared_temporal_oracle,26,4,307,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.5,0.0625,0.5,0.0625,0.5,0.5,0.25
shared_temporal_oracle,26,4,613,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.5,0.1875,0.5,0.1875,0.6875,0.5625,0.25
shared_temporal_oracle,26,8,307,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.5,0.25,0.25,0.25,0.75,0.5625,0.25
shared_temporal_oracle,26,8,613,8,4.0,4.0,0.0,8.0,0.0,8.0,8.0,0.0,1.0,1.0,1.0,0.5,0.1875,0.5,0.1875,0.5,0.5,0.25
shared_temporal_oracle,30,16,307,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,1.25,1.5,0.875,0.9375,0.9375,0.9375,0.5
shared_temporal_oracle,30,16,613,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.75,0.75,0.75,0.6875,0.6875,0.5625,0.25
shared_temporal_oracle,30,24,307,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,2.25,1.1875,1.0,0.8125,1.0,1.0,0.5
shared_temporal_oracle,30,24,613,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.6875,1.6875,0.5625,0.875,1.0,1.0,0.5
shared_temporal_oracle,30,4,307,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.5,0.0625,0.5,0.0625,0.5,0.5,0.25
shared_temporal_oracle,30,4,613,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.75,0.5625,0.25
shared_temporal_oracle,30,8,307,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.5,0.25,0.25,0.25,0.75,0.5625,0.25
shared_temporal_oracle,30,8,613,10,5.0,5.0,0.0,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.5,0.1875,0.5,0.1875,0.5,0.5,0.25
shared_temporal_wad,18,16,307,4,0.4749210749287158,0.0531085378134621,0.3927149772644043,0.5730651021003723,0.48354551335796714,0.4662966364994645,-0.017248876858502626,0.12088637833949178,0.11657415912486613,1.0,0.0,2.3125,0.0,1.0,0.0,0.5,0.5,0.1875
shared_temporal_wad,18,16,613,4,0.46706178691238165,0.04711328931815874,0.40010154247283936,0.5537415146827698,0.46042995108291507,0.47369362274184823,0.013263671658933163,0.11510748777072877,0.11842340568546206,1.0,0.0,1.375,0.0,0.9375,0.0,0.5,0.4375,0.1875
shared_temporal_wad,18,24,307,4,0.4777292020929356,0.019050510865656897,0.4485584497451782,0.5067663788795471,0.4747569815566142,0.480701422629257,0.005944441072642803,0.11868924538915356,0.12017535565731426,1.0,0.0,2.25,0.0,1.0,0.0,0.5,0.5,0.25
shared_temporal_wad,18,24,613,4,0.46725619677454233,0.05911267742725367,0.3775031566619873,0.5836907625198364,0.4645437489574154,0.46996864459166926,0.005424895634253857,0.11613593723935385,0.11749216114791732,1.0,0.0,2.0,0.0,0.875,0.0,0.5,0.4375,0.1875
shared_temporal_wad,18,4,307,4,0.4753641299903393,0.032828810804928554,0.42305171489715576,0.5374280214309692,0.4833483174443245,0.46737994253635406,-0.01596837490797043,0.12083707936108112,0.11684498563408852,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.3125,0.1875
shared_temporal_wad,18,4,613,4,0.47262175288051367,0.031550220283744754,0.43765705823898315,0.5175037384033203,0.4585625287145376,0.4866809770464897,0.028118448331952095,0.1146406321786344,0.12167024426162243,1.0,0.0,0.375,0.0,0.3125,0.0,0.5,0.375,0.125
shared_temporal_wad,18,8,307,4,0.47145621897652745,0.0663366843179852,0.37748774886131287,0.5977985858917236,0.45899853203445673,0.4839139059185982,0.024915373884141445,0.11474963300861418,0.12097847647964954,1.0,0.0,0.8125,0.0,0.625,0.0,0.5,0.375,0.125
shared_temporal_wad,18,8,613,4,0.4600990847684443,0.06596035481785686,0.3767509162425995,0.5875763893127441,0.4405794246122241,0.4796187449246645,0.039039320312440395,0.11014485615305603,0.11990468623116612,1.0,0.0,0.75,0.0,0.5625,0.0,0.5,0.4375,0.1875
shared_temporal_wad,22,16,307,6,0.7169150300323963,0.027936634277309375,0.673001766204834,0.760460376739502,0.71967179980129,0.7141582602635026,-0.0055135395377874374,0.11994529996688168,0.11902637671058376,1.0,0.0,2.125,0.0,1.0,0.0,0.5,0.4375,0.1875
shared_temporal_wad,22,16,613,6,0.7057881806977093,0.07051261113493418,0.6098460555076599,0.8370587825775146,0.6933899931609631,0.7181863682344556,0.024796375073492527,0.11556499886016051,0.11969772803907593,1.0,0.0,1.375,0.0,0.9375,0.0,0.5,0.4375,0.1875
shared_temporal_wad,22,24,307,6,0.7167795086279511,0.029240207494178518,0.6729170083999634,0.7602583169937134,0.7111955719689528,0.7223634452869495,0.011167873317996735,0.1185325953281588,0.12039390754782492,1.0,0.0,2.3125,0.0,1.0,0.0,0.5,0.5,0.25
shared_temporal_wad,22,24,613,6,0.7049106086293856,0.07431006557216079,0.5939892530441284,0.8440042734146118,0.7087210162232319,0.7011002010355393,-0.007620815187692642,0.11812016937053865,0.11685003350592321,1.0,0.0,2.125,0.0,0.875,0.0,0.5,0.4375,0.1875
shared_temporal_wad,22,4,307,6,0.7151893004775047,0.043809522352156766,0.6436669826507568,0.7744269371032715,0.7261237874627113,0.7042548134922981,-0.021868973970413208,0.12102063124378522,0.11737580224871635,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.3125,0.1875
shared_temporal_wad,22,4,613,6,0.7129237502813339,0.04274409782275709,0.661332905292511,0.7718156576156616,0.6980682499706745,0.7277792505919933,0.029711000621318817,0.11634470832844575,0.12129654176533222,1.0,0.0,0.375,0.0,0.3125,0.0,0.5,0.375,0.125
shared_temporal_wad,22,8,307,6,0.7201583096757531,0.04832834237034918,0.6431336998939514,0.7918163537979126,0.7174531258642673,0.7228634934872389,0.005410367622971535,0.11957552097737789,0.12047724891453981,1.0,0.0,0.8125,0.0,0.625,0.0,0.5,0.3125,0.125
shared_temporal_wad,22,8,613,6,0.6818579724058509,0.0951132345300911,0.5602717399597168,0.8674870133399963,0.6585834641009569,0.7051324807107449,0.04654901660978794,0.10976391068349282,0.11752208011845748,1.0,0.0,0.875,0.0,0.625,0.0,0.5,0.4375,0.1875
shared_temporal_wad,26,16,307,8,0.9579440411180258,0.03571724302393447,0.9008335471153259,1.009721040725708,0.9593244660645723,0.9565636161714792,-0.002760849893093109,0.11991555825807154,0.1195704520214349,1.0,0.0,2.1875,0.0,1.0,0.0,0.5,0.4375,0.125
shared_temporal_wad,26,16,613,8,0.9362994330003858,0.07434267865481954,0.8308279514312744,1.093971610069275,0.9265414504334331,0.9460574155673385,0.01951596513390541,0.11581768130417913,0.11825717694591731,1.0,0.0,1.3125,0.0,0.9375,0.0,0.5,0.4375,0.1875
shared_temporal_wad,26,24,307,8,0.9536494767914215,0.04024494537207379,0.8978644013404846,1.0107309818267822,0.9491979132095972,0.9581010403732458,0.008903127163648605,0.11864973915119965,0.11976263004665573,1.0,0.0,2.4375,0.0,1.0,0.0,0.5,0.5,0.25
shared_temporal_wad,26,24,613,8,0.9488002390911182,0.056398894542030495,0.8572064638137817,1.0605642795562744,0.9499038973202308,0.9476965808620056,-0.0022073164582252502,0.11873798716502885,0.1184620726077507,1.0,0.0,1.9375,0.0,0.9375,0.0,0.5,0.4375,0.1875
shared_temporal_wad,26,4,307,8,0.9631585106253624,0.049520126540341734,0.8746809363365173,1.0463323593139648,0.9742076396942139,0.9521093815565109,-0.022098258137702942,0.12177595496177673,0.11901367269456387,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.3125,0.1875
shared_temporal_wad,26,4,613,8,0.9430278278887272,0.04665796247059048,0.8906804323196411,1.026009202003479,0.9453551545739174,0.940700501203537,-0.004654653370380402,0.11816939432173967,0.11758756265044212,1.0,0.0,0.4375,0.0,0.375,0.0,0.5,0.375,0.125
shared_temporal_wad,26,8,307,8,0.9420955581590533,0.13283307346926843,0.7349512577056885,1.2463340759277344,0.9166075419634581,0.9675835743546486,0.05097603239119053,0.11457594274543226,0.12094794679433107,1.0,0.0,0.9375,0.0,0.75,0.0,0.5,0.375,0.1875
shared_temporal_wad,26,8,613,8,0.9355150740593672,0.1205485029662869,0.7723514437675476,1.1913813352584839,0.9250675775110722,0.9459625706076622,0.020894993096590042,0.11563344718888402,0.11824532132595778,1.0,0.0,0.875,0.0,0.625,0.0,0.5,0.4375,0.1875
shared_temporal_wad,30,16,307,10,1.180404243990779,0.12990942197384284,0.9850611686706543,1.4300391674041748,1.2063799500465393,1.1544285379350185,-0.05195141211152077,0.12063799500465393,0.11544285379350186,1.0,0.0,2.1875,0.0,1.0,0.0,0.5,0.5,0.1875
shared_temporal_wad,30,16,613,10,1.1721628988161683,0.09178250138604604,1.0411888360977173,1.3389371633529663,1.1641861107200384,1.1801396869122982,0.01595357619225979,0.11641861107200384,0.11801396869122982,1.0,0.0,1.25,0.0,0.9375,0.0,0.5,0.4375,0.1875
shared_temporal_wad,30,24,307,10,1.1867694122095902,0.07138535195398411,1.0756827592849731,1.3180100917816162,1.1793377846479416,1.194201039771239,0.014863255123297447,0.11793377846479416,0.11942010397712391,1.0,0.0,2.4375,0.0,1.0,0.0,0.5,0.5,0.25
shared_temporal_wad,30,24,613,10,1.17312864617755,0.16304573390928487,0.936431884765625,1.532170295715332,1.1628042049705982,1.1834530873845022,0.020648882413903946,0.11628042049705982,0.11834530873845021,1.0,0.0,1.8125,0.0,0.8125,0.0,0.5,0.4375,0.1875
shared_temporal_wad,30,4,307,10,1.185154240578413,0.09190658313872788,1.0210199356079102,1.3756461143493652,1.2059040367603302,1.1644044443964958,-0.04149959236383438,0.12059040367603302,0.11644044443964958,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.3125,0.1875
shared_temporal_wad,30,4,613,10,1.1817144602537155,0.07857804502104997,1.0932223796844482,1.2962524890899658,1.1445424258708954,1.2188864946365356,0.07434406876564026,0.11445424258708954,0.12188864946365356,1.0,0.0,0.4375,0.0,0.375,0.0,0.5,0.375,0.125
shared_temporal_wad,30,8,307,10,1.1772392885759473,0.18789591434216762,0.9398884177207947,1.5576480627059937,1.1360973734408617,1.2183812037110329,0.08228383027017117,0.11360973734408616,0.12183812037110328,1.0,0.0,0.875,0.0,0.6875,0.0,0.5,0.4375,0.1875
shared_temporal_wad,30,8,613,10,1.139615612104535,0.1497140196098921,0.9663803577423096,1.4653658866882324,1.1057272925972939,1.1735039316117764,0.0677766390144825,0.11057272925972939,0.11735039316117764,1.0,0.0,0.8125,0.0,0.625,0.0,0.5,0.4375,0.1875
