condition,T,surface_hidden_width,n_seeds,worst_balanced_mean,worst_balanced_min_seed,exact_trial_mean,pooled_mean,hidden_neurons_total,neuron_updates_per_trial,dense_synapse_macs_per_trial,mean_synaptic_events_total
spatial_independent_d0,26,16,2,0.625,0.5,0.5,0.6875,32.0,832.0,3328.0,128.0
shared_spatial_d0,26,16,1,0.5,0.5,0.3125,0.5625,16.0,416.0,3328.0,128.0
shared_temporal_d0,26,16,1,0.5,0.5,0.25,0.5,16.0,416.0,3328.0,128.0
shared_temporal_oracle,26,16,2,0.5,0.5,0.28125,0.53125,16.0,416.0,3328.0,128.0
shared_temporal_wad,26,16,1,0.5,0.5,0.25,0.5,16.0,416.0,3328.0,128.0
