complete,convergence_step,direct_delay_supervision,final_delay_steps,final_loss,final_nominal_delay_error_steps,final_normalized_trace_w1_steps,final_output_trace_mass,final_raw_gradient,final_trace_centroid,final_trace_centroid_error_steps,initial_delay_jacobian,initial_delay_space_gradient,initial_delay_steps,initial_normalized_trace_w1_steps,initial_output_trace_mass,initial_parameter_value,initial_raw_gradient,initial_trace_centroid,initialization_label_raw,learning_rate,maximum_hard_spike_count,objective,objective_role,optimizer_steps,parameterization,path,path_valid,protocol_id,recovered_within_0p1_w1_step,stochastic_seed,target_arrival_step,target_nominal_delay_steps,target_trace_centroid,test_split_opened
True,109,False,0.9976130723953247,4.1488061697236844e-07,0.002386927604675293,0.002386927604675293,1.0,-0.000347624474670738,3.997612953186035,0.0023870468139648438,1.0,-0.12468016147613525,0.1438896805047989,0.8561103343963623,1.0,0.14388967969673247,-0.12468016147613525,3.1438896656036377,-4.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,True,,4,1.0,4.0,False
True,0,False,0.9999992251396179,4.726622739037456e-14,7.748603820800781e-07,7.748603820800781e-07,1.0,-1.1651502518361667e-07,3.9999992847442627,7.152557373046875e-07,1.0,-0.006754092872142792,0.953623354434967,0.04637664556503296,1.0,0.9536233761769404,-0.006754092872142792,3.9536232948303223,-2.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,True,,4,1.0,4.0,False
True,,False,4.317382335662842,0.15493062138557434,3.317382335662842,3.317382335662842,1.0,1.6689300537109375e-06,7.317382335662842,3.317382335662842,1.0,-0.046191051602363586,4.0,3.0,1.0,4.0,-0.046191051602363586,7.0,0.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,4.0,False
True,,False,7.44562292098999,0.20597928762435913,6.44562292098999,6.44562292098999,1.0,-1.996755599975586e-06,10.445623397827148,6.445623397827148,1.0,-0.05785521864891052,7.046376705169678,6.046376705169678,1.0,7.0463766238230585,-0.05785521864891052,10.046377182006836,2.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,4.0,False
True,,False,7.445644378662109,0.20597928762435913,6.445644378662109,6.445644378662109,1.0,1.1175870895385742e-06,10.44564437866211,6.445644378662109,1.0,0.059480130672454834,7.856110095977783,6.856110095977783,1.0,7.856110320303268,0.059480130672454834,10.856110572814941,4.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,4.0,False
True,,False,0.631333589553833,0.17894268035888672,4.368666410446167,4.368666648864746,1.0,3.084540367126465e-06,3.631333589553833,4.368666410446167,1.0,-0.07098612189292908,0.1438896805047989,4.856110572814941,1.0,0.14388967969673247,-0.07098612189292908,3.1438896656036377,-4.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,8.0,False
True,,False,0.6313006281852722,0.1789426952600479,4.368699371814728,4.368699073791504,1.0,-1.7285346984863281e-06,3.631300687789917,4.368699312210083,1.0,0.04693993926048279,0.953623354434967,4.046376705169678,1.0,0.9536233761769404,0.04693993926048279,3.9536232948303223,-2.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,8.0,False
True,137,False,4.984426975250244,1.764846092555672e-05,0.01557302474975586,0.01557302474975586,1.0,-0.0022665427532047033,7.984426975250244,0.01557302474975586,1.0,-0.14554288983345032,4.0,1.0,1.0,4.0,-0.14554288983345032,7.0,0.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,True,,8,5.0,8.0,False
True,,False,7.250773906707764,0.11988643556833267,2.2507739067077637,2.2507739067077637,1.0,-6.407499313354492e-07,10.250774383544922,2.250774383544922,1.0,-0.029619045555591583,7.046376705169678,2.0463767051696777,1.0,7.0463766238230585,-0.029619045555591583,10.046377182006836,2.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,8.0,False
True,,False,7.2508134841918945,0.11988645046949387,2.2508134841918945,2.2508134841918945,1.0,5.0961971282958984e-06,10.250813484191895,2.2508134841918945,1.0,0.08771629631519318,7.856110095977783,2.856110095977783,1.0,7.856110320303268,0.08771629631519318,10.856110572814941,4.0,0.01,0.0,causal_filtered_trace,preregistered_negative_control_not_selection_eligible,200,direct,buffer_current,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,8.0,False
