epoch,train_loss,train_acc,val_loss,val_acc,mean_hidden_spikes,time_s
1,0.7114376798272133,0.2537109386175871,0.7088617384433746,0.23750673234462738,2.768251597881317,1.5764458179473877
2,0.7057300359010696,0.2607421875,0.7034603804349899,0.2510775849223137,2.809974431991577,1.4047133922576904
3,0.701095025986433,0.26914062537252903,0.6992064565420151,0.2548154667019844,2.6439924836158752,1.7136249542236328
4,0.6962576881051064,0.2739746104925871,0.6942665576934814,0.26016972213983536,2.7091527581214905,1.373114824295044
5,0.6916744187474251,0.6561035178601742,0.6897014528512955,0.7228246182203293,2.7458916902542114,1.7031605243682861
6,0.6873355507850647,0.7196777351200581,0.6842343807220459,0.742658942937851,2.7358903288841248,1.9622442722320557
7,0.6829324625432491,0.7380859367549419,0.6802080571651459,0.7614156752824783,2.7407057881355286,1.4345471858978271
8,0.67872329428792,0.7423339858651161,0.6753952503204346,0.7646484375,2.8406856060028076,1.3958532810211182
9,0.6741551533341408,0.7449218742549419,0.6718144863843918,0.765625,2.8422346711158752,1.3079936504364014
10,0.6704527027904987,0.7473632805049419,0.6668783575296402,0.7666015625,3.1320043206214905,1.2506494522094727
11,0.6666240841150284,0.746337890625,0.6624207496643066,0.7666015625,3.2160560488700867,1.463623046875
12,0.6616513431072235,0.7473632805049419,0.6579234004020691,0.7666015625,3.515288233757019,1.665370225906372
13,0.6575289331376553,0.746337890625,0.6527768522500992,0.7666015625,3.708378255367279,1.5182085037231445
14,0.6534925475716591,0.7488281242549419,0.6494632810354233,0.7666015625,3.7602707147598267,2.4817280769348145
15,0.6498003490269184,0.7461914084851742,0.6439714282751083,0.7666015625,3.9060479402542114,2.185408353805542
16,0.6452896595001221,0.7483886741101742,0.6410851329565048,0.7666015625,4.345568418502808,1.9088187217712402
17,0.6432379819452763,0.7467773444950581,0.636777862906456,0.7666015625,4.395878195762634,1.843360185623169
18,0.6395060680806637,0.7450195327401161,0.6314502060413361,0.7666015625,4.563442826271057,1.7878246307373047
19,0.6343788728117943,0.7473632805049419,0.6300249546766281,0.7666015625,4.756330847740173,1.8930768966674805
20,0.6309907212853432,0.7472167983651161,0.6225827187299728,0.7666015625,5.105098366737366,1.8584434986114502
21,0.6267570927739143,0.7470703125,0.6198457181453705,0.7666015625,5.459186434745789,1.859616756439209
22,0.6242288872599602,0.7460449226200581,0.6135587692260742,0.7666015625,5.711442589759827,2.2875301837921143
23,0.6197601705789566,0.74560546875,0.612497940659523,0.7666015625,5.841291785240173,2.209449052810669
24,0.6180517747998238,0.744873046875,0.6082471609115601,0.7666015625,6.2489224672317505,2.1567986011505127
25,0.6122682616114616,0.7470703125,0.6056795865297318,0.7666015625,6.5180158615112305,1.9662890434265137
26,0.6080200932919979,0.7483886741101742,0.5993581563234329,0.7666015625,6.669012665748596,1.7362654209136963
27,0.60685009136796,0.7469238303601742,0.6029829680919647,0.7666015625,7.023100733757019,1.3918654918670654
28,0.6044665277004242,0.747802734375,0.5963110625743866,0.7666015625,7.361732244491577,1.4385192394256592
29,0.6022101640701294,0.746337890625,0.591537356376648,0.7666015625,7.486227035522461,1.2942821979522705
30,0.595989391207695,0.7475097663700581,0.5887256413698196,0.7666015625,8.145878195762634,1.314124584197998
31,0.5914781279861927,0.747802734375,0.5883408635854721,0.7666015625,8.159044981002808,1.5333526134490967
32,0.5892555899918079,0.746337890625,0.5751971304416656,0.7666015625,8.698141098022461,2.479736089706421
33,0.5881861299276352,0.746337890625,0.5803604125976562,0.7666015625,9.132947206497192,1.8124117851257324
34,0.5830883197486401,0.7469238303601742,0.5738719552755356,0.7666015625,9.235149621963501,1.8681066036224365
